GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|411116154|ref|NZ_JH556657.1|:196093-197025|35830|g__Acetivibrio.s__Acetivibrio_cellulolyticus|UniRef90_K4L592|UniRef50_H6LFX7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,933,1,0.0.0.0,1.0718113612004287
gi|483985043|ref|NZ_KB892693.1|:255379-256263|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00038196DF|UniRef50_C9A686,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,5,0.0.0.0,5.649717514124294
gi|483984615|ref|NZ_KB892649.1|:170001-170882|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R6RAG3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,882,13,0.0.0.0,14.739229024943311
gi|483984562|ref|NZ_KB892642.1|:c16235-15354|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037AC2E6|UniRef50_R6R9S8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,882,6,0.0.0.0,6.802721088435374
gi|483984589|ref|NZ_KB892646.1|:c47639-46755|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037E21FF|UniRef50_UPI00037E21FF,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,4,0.0.0.0,4.519774011299435
gi|483984714|ref|NZ_KB892660.1|:c190495-189611|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036DCB73|UniRef50_R6RN99,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,7,0.0.0.0,7.909604519774011
gi|483985043|ref|NZ_KB892693.1|:120132-121016|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035C67AF|UniRef50_A9KTE0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,1,0.0.0.0,1.1299435028248588
gi|483985143|ref|NZ_KB892704.1|:c119258-118374|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000371B0EF|UniRef50_R5IBJ1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,3,0.0.0.0,3.389830508474576
gi|483985136|ref|NZ_KB892703.1|:c108496-107612|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R5F3T6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,2,0.0.0.0,2.2598870056497176
gi|483985143|ref|NZ_KB892704.1|:c60462-59578|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036DADC5|UniRef50_R5GC38,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,4,0.0.0.0,4.519774011299435
gi|483984803|ref|NZ_KB892671.1|:c126033-125149|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003782FF6|UniRef50_A0A010ZD96,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,885,2,0.0.0.0,2.2598870056497176
gi|483984517|ref|NZ_KB892637.1|:194911-195774|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000370CBA6|UniRef50_R6WD52,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,864,2,0.0.0.0,2.314814814814815
gi|483984615|ref|NZ_KB892649.1|:c302671-301808|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000370EDBC|UniRef50_D5HIW6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,864,1,0.0.0.0,1.1574074074074074
gi|483984576|ref|NZ_KB892644.1|:c117773-116910|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036090A4|UniRef50_R5BWS4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,864,3,0.0.0.0,3.4722222222222223
gi|483985125|ref|NZ_KB892702.1|:25057-25923|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036BED23|UniRef50_R5R145,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,9,0.0.0.0,10.380622837370243
gi|483984589|ref|NZ_KB892646.1|:c83378-82518|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000476A8C7|UniRef50_R5R3P3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,861,1,0.0.0.0,1.1614401858304297
gi|483984829|ref|NZ_KB892674.1|:8281-9141|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037CBB21|UniRef50_E9SMF1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,861,14,0.0.0.0,16.260162601626018
gi|483984615|ref|NZ_KB892649.1|:c303521-302664|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000380F5FE|UniRef50_S6CLK5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,858,1,0.0.0.0,1.1655011655011656
gi|483984529|ref|NZ_KB892638.1|:c368426-367569|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003818379|UniRef50_R6VKC2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,858,3,0.0.0.0,3.4965034965034967
gi|483984576|ref|NZ_KB892644.1|:c128689-127832|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000370E304|UniRef50_R6PFH6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,858,28,0.0.0.0,32.634032634032636
gi|483984529|ref|NZ_KB892638.1|:349402-350262|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000377BF50|UniRef50_R6JSZ7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,861,2,0.0.0.0,2.3228803716608595
gi|483984803|ref|NZ_KB892671.1|:214428-215291|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003738C97|UniRef50_R6VKE2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,864,23,0.0.0.0,26.62037037037037
gi|483984714|ref|NZ_KB892660.1|:c48208-47345|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003612EF5|UniRef50_UPI0003612EF5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,864,2,0.0.0.0,2.314814814814815
gi|483984517|ref|NZ_KB892637.1|:c174627-173767|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00041BFB47|UniRef50_O31520,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,861,1,0.0.0.0,1.1614401858304297
gi|483984714|ref|NZ_KB892660.1|:c212638-211778|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003653934|UniRef50_R5I7D1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,861,1,2.7.1.23,1.1614401858304297
gi|483984626|ref|NZ_KB892651.1|:3102-3974|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000361B576|UniRef50_A9KKE9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,873,14,2.7.1.148,16.036655211912944
gi|483985043|ref|NZ_KB892693.1|:177465-178334|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003635CF2|UniRef50_UPI0003635CF2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,870,2,0.0.0.0,2.2988505747126435
gi|483984615|ref|NZ_KB892649.1|:158285-159154|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037293F0|UniRef50_R6JSR3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,870,26,5.3.1.1,29.885057471264368
gi|483984581|ref|NZ_KB892645.1|:59616-60485|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NBY0|UniRef50_P47269,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,870,21,4.1.2.13,24.137931034482758
gi|483984598|ref|NZ_KB892647.1|:40363-41235|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003678D97|UniRef50_R7PH35,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,873,6,0.0.0.0,6.872852233676976
gi|483984517|ref|NZ_KB892637.1|:c515140-514268|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037A05BB|UniRef50_R5TLT5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,873,2,0.0.0.0,2.290950744558992
gi|483985136|ref|NZ_KB892703.1|:c61786-60914|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036B9D4C|UniRef50_R5F1I7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,873,12,4.1.1.65,13.745704467353953
gi|483984756|ref|NZ_KB892665.1|:c2222-1350|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036E8929|UniRef50_R6GHL2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,873,1,0.0.0.0,1.145475372279496
gi|483984803|ref|NZ_KB892671.1|:c102029-101157|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003652F31|UniRef50_R5QUY1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,873,1,0.0.0.0,1.145475372279496
gi|483984529|ref|NZ_KB892638.1|:c215107-214235|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003661DF7|UniRef50_Q8AA27,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,873,53,3.4.11.18,60.710194730813285
gi|483984581|ref|NZ_KB892645.1|:4585-5451|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_W8TK19,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,5,0.0.0.0,5.767012687427912
gi|483984551|ref|NZ_KB892641.1|:110793-111659|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000382DD6A|UniRef50_U5MVC4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,1,0.0.0.0,1.1534025374855825
gi|483984517|ref|NZ_KB892637.1|:198438-199304|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000364FEE0|UniRef50_R6WBG6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,25,0.0.0.0,28.835063437139564
gi|483985143|ref|NZ_KB892704.1|:c115940-115074|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000381564B|UniRef50_R6WJV0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,6,0.0.0.0,6.920415224913495
gi|483985136|ref|NZ_KB892703.1|:208052-208918|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000375D123|UniRef50_W8V6S8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,11,1.1.1.25,12.687427912341407
gi|483984529|ref|NZ_KB892638.1|:c296488-295619|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000372E2C0|UniRef50_R6RFI4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,870,2,2.1.1.297,2.2988505747126435
gi|483985136|ref|NZ_KB892703.1|:c206847-205978|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00047758DC|UniRef50_UPI00047758DC,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,870,12,0.0.0.0,13.793103448275863
gi|483984598|ref|NZ_KB892647.1|:45509-46378|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003697BDB|UniRef50_F7V1I9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,870,15,0.0.0.0,17.24137931034483
gi|483985143|ref|NZ_KB892704.1|:c38615-37749|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037C0150|UniRef50_R5R689,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,1,0.0.0.0,1.1534025374855825
gi|483985136|ref|NZ_KB892703.1|:c227156-226290|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037CCB68|UniRef50_D4M3D2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,867,12,0.0.0.0,13.84083044982699
gi|483984660|ref|NZ_KB892654.1|:54685-55554|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003673577|UniRef50_R6EH25,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,870,3,0.0.0.0,3.4482758620689657
gi|483984589|ref|NZ_KB892646.1|:c60146-59181|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000362A9E3|UniRef50_R5TIG7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,966,20,0.0.0.0,20.70393374741201
gi|483984517|ref|NZ_KB892637.1|:c465058-463928|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000382B3AF|UniRef50_UPI000382B3AF,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1131,2,0.0.0.0,1.7683465959328029
gi|483984714|ref|NZ_KB892660.1|:c57118-55988|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036C6C51|UniRef50_UPI00036C6C51,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1131,11,0.0.0.0,9.725906277630415
gi|483984922|ref|NZ_KB892682.1|:c73574-72444|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000363A01B|UniRef50_R6SCZ4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1131,9,5.4.99.5,7.957559681697613
gi|483984517|ref|NZ_KB892637.1|:c294083-292956|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035F0EAA|UniRef50_R6UZE7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1128,16,0.0.0.0,14.184397163120568
gi|483984541|ref|NZ_KB892639.1|:c115635-114508|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036236D5|UniRef50_R6V622,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1128,4,0.0.0.0,3.546099290780142
gi|483985143|ref|NZ_KB892704.1|:48515-49642|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037140C1|UniRef50_D2B1Y5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1128,1,0.0.0.0,0.8865248226950355
gi|483984714|ref|NZ_KB892660.1|:c140168-139032|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037B31E7|UniRef50_C4Z563,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1137,5,2.4.2.29,4.397537379067722
gi|483984714|ref|NZ_KB892660.1|:c86575-85442|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1134,8,0.0.0.0,7.0546737213403885
gi|483984541|ref|NZ_KB892639.1|:c51109-49979|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036F5C31|UniRef50_R7JTJ1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1131,9,0.0.0.0,7.957559681697613
gi|483984922|ref|NZ_KB892682.1|:269723-270847|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035F9934|UniRef50_UPI00035F9934,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1125,6,0.0.0.0,5.333333333333333
gi|483984626|ref|NZ_KB892651.1|:49960-51078|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003614C98|UniRef50_UPI0003614C98,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1119,1,0.0.0.0,0.8936550491510277
gi|483984922|ref|NZ_KB892682.1|:225275-226393|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000375287B|UniRef50_R6WJ70,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1119,5,3.7.1.12,4.468275245755138
gi|483984922|ref|NZ_KB892682.1|:c128578-127463|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003727B4B|UniRef50_B8DKX1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1116,11,0.0.0.0,9.85663082437276
gi|483984626|ref|NZ_KB892651.1|:19953-21068|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036E31C6|UniRef50_K4LF40,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1116,14,0.0.0.0,12.544802867383511
gi|483984626|ref|NZ_KB892651.1|:42841-43956|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036B4CE9|UniRef50_R7IMM2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1116,5,2.7.7.27,4.480286738351254
gi|483984517|ref|NZ_KB892637.1|:543806-544930|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00047B3047|UniRef50_R6N276,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1125,1,0.0.0.0,0.8888888888888888
gi|483984922|ref|NZ_KB892682.1|:65986-67110|33035|g__Blautia.s__Blautia_producta|UniRef90_R6V1J4|UniRef50_P52331,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1125,22,0.0.0.0,19.555555555555557
gi|483984688|ref|NZ_KB892657.1|:c1393-272|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000373217A|UniRef50_R6VPN7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1122,2,0.0.0.0,1.7825311942959
gi|483985136|ref|NZ_KB892703.1|:48534-49658|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000373CD43|UniRef50_D4K4S0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1125,1,0.0.0.0,0.8888888888888888
gi|483984529|ref|NZ_KB892638.1|:329032-330153|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000364060A|UniRef50_F7Z209,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1122,15,0.0.0.0,13.36898395721925
gi|483984517|ref|NZ_KB892637.1|:c92270-91119|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000376A624|UniRef50_D4KHH9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1152,13,0.0.0.0,11.284722222222223
gi|483984803|ref|NZ_KB892671.1|:c141807-140656|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000380C9C8|UniRef50_A3DGB9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1152,7,0.0.0.0,6.076388888888889
gi|483984615|ref|NZ_KB892649.1|:262322-263476|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003728A7B|UniRef50_R6V8A7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1155,16,0.0.0.0,13.852813852813853
gi|483984668|ref|NZ_KB892655.1|:3302-4456|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003608EDA|UniRef50_D4J9L7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1155,63,2.8.1.7,54.54545454545455
gi|483984517|ref|NZ_KB892637.1|:160492-161646|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003799461|UniRef50_UPI0003799461,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1155,3,0.0.0.0,2.5974025974025974
gi|483984517|ref|NZ_KB892637.1|:c121564-120413|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035DB6A4|UniRef50_C4ZFU5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1152,2,2.1.1.173,1.7361111111111112
gi|483984714|ref|NZ_KB892660.1|:c102274-101135|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000476CE77|UniRef50_F5YB63,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1140,3,3.6.3.31,2.6315789473684212
gi|483984545|ref|NZ_KB892640.1|:c197351-196209|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036ACDD3|UniRef50_G4KXX3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1143,17,0.0.0.0,14.873140857392826
gi|483984517|ref|NZ_KB892637.1|:c547351-546212|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003683EE2|UniRef50_UPI0003683EE2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1140,1,0.0.0.0,0.8771929824561404
gi|483985143|ref|NZ_KB892704.1|:c238868-237732|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036AC4C2|UniRef50_UPI00036AC4C2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1137,9,0.0.0.0,7.915567282321899
gi|483984568|ref|NZ_KB892643.1|:18903-20039|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036BC7A5|UniRef50_UPI00036AC4C2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1137,1,0.0.0.0,0.8795074758135444
gi|483984529|ref|NZ_KB892638.1|:c186095-184956|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036F980D|UniRef50_R5IPT8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1140,1,2.8.1.7,0.8771929824561404
gi|483984517|ref|NZ_KB892637.1|:c207359-206220|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035F4C64|UniRef50_I8R2A8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1140,6,0.0.0.0,5.2631578947368425
gi|483984922|ref|NZ_KB892682.1|:193750-194895|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036CCC8B|UniRef50_R6VJ15,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1146,2,0.0.0.0,1.7452006980802794
gi|483984615|ref|NZ_KB892649.1|:228533-229678|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035D3F78|UniRef50_D6DJE0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1146,2,0.0.0.0,1.7452006980802794
gi|483984714|ref|NZ_KB892660.1|:c11463-10321|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036CF1D2|UniRef50_A9KMX2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1143,2,1.1.1.267,1.7497812773403325
gi|483985125|ref|NZ_KB892702.1|:117275-118420|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000373151A|UniRef50_E1UFF6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1146,1,0.0.0.0,0.8726003490401397
