GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|374087949|ref|NZ_JH599912.1|:1-1008|1054213|g__Acetobacteraceae_noname.s__Acetobacteraceae_bacterium_AT_5844|UniRef90_G9ZU40|UniRef50_G1XWW4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,1008,1,0.0.0.0,0.9920634920634921
gi|485831326|ref|NZ_APXC01000195.1|:47543-48544|562|g__Escherichia.s__Escherichia_coli|UniRef90_B7M9X6|UniRef50_B7M9X6,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1002,3,3.5.4.4,2.9940119760479043
gi|419299057|ref|NZ_AIGX01000014.1|:c16864-15956|562|g__Escherichia.s__Escherichia_coli|UniRef90_P75767|UniRef50_P58586,root;k_Bacteria,909,1,0.0.0.0,1.1001100110011002
gi|417590704|ref|NZ_AFDS01000044.1|:c49878-49186|562|g__Escherichia.s__Escherichia_coli|UniRef90_P58357|UniRef50_P38684,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,693,1,0.0.0.0,1.443001443001443
gi|487675309|ref|NZ_AQFF01000026.1|:43356-44315|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AGH9|UniRef50_Q98FL3,root;k_Bacteria,960,2,0.0.0.0,2.0833333333333335
gi|442599226|ref|NZ_CAPL01000111.1|:c47475-47356|562|g__Escherichia.s__Escherichia_coli|UniRef90_A0A023YFJ4|UniRef50_A0A023YFJ4,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,120,1,0.0.0.0,8.333333333333334
gi|560220854|ref|NZ_ASYQ02000113.1|:38615-39907|562|g__Escherichia.s__Escherichia_coli|UniRef90_B5QX24|UniRef50_B5QX24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1293,1,0.0.0.0,0.7733952049497294
gi|417131545|ref|NZ_AEZK02000026.1|:c2791362-2790730|562|g__Escherichia.s__Escherichia_coli|UniRef90_A1AI47|UniRef50_Q6LLQ5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,633,2,0.0.0.0,3.1595576619273302
gi|452721132|ref|NZ_AJLU01000019.1|:32466-33080|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AAA2|UniRef50_P0AAA2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria,615,4,0.0.0.0,6.504065040650406
gi|387823261|ref|NC_012892.2|:2637065-2637364|562|g__Escherichia.s__Escherichia_coli|UniRef90_P77295|UniRef50_P77295,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,300,1,0.0.0.0,3.3333333333333335
gi|545298594|ref|NZ_KE702599.1|:c251776-251372|562|g__Escherichia.s__Escherichia_coli|UniRef90_P75988|UniRef50_P75988,root;k_Bacteria,405,1,0.0.0.0,2.4691358024691357
gi|489673721|ref|NZ_APZN01000133.1|:c265286-264567|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ADT1|UniRef50_P0ADT1,root;k_Bacteria,720,1,0.0.0.0,1.3888888888888888
gi|424128411|ref|NZ_JH709381.1|:4765-4881|562|g__Escherichia.s__Escherichia_coli|UniRef90_B5YRT9|UniRef50_B5YRT9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,117,1,0.0.0.0,8.547008547008547
gi|485954981|ref|NZ_APZE01000037.1|:398599-399246|562|g__Escherichia.s__Escherichia_coli|UniRef90_P77526|UniRef50_P77526,root,648,1,0.0.0.0,1.5432098765432098
gi|417634266|ref|NZ_AFEA01000011.1|:c208645-208430|562|g__Escherichia.s__Escherichia_coli|UniRef90_P36995|UniRef50_P36995,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,216,5,0.0.0.0,23.14814814814815
gi|506938437|ref|NZ_AOQO01000020.1|:c839-294|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ACB6|UniRef50_P0ACB6,root;k_Bacteria,546,1,1.3.5.3,1.8315018315018314
gi|485877760|ref|NZ_APYK01000097.1|:102826-103338|562|g__Escherichia.s__Escherichia_coli|UniRef90_C3TQJ2|UniRef50_A7MQ64,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,513,2,0.0.0.0,3.898635477582846
gi|557703205|ref|NZ_AYMX01000724.1|:51262-52134|562|g__Escherichia.s__Escherichia_coli|UniRef90_P76584|UniRef50_P76584,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,873,1,0.0.0.0,1.145475372279496
gi|419365537|ref|NZ_AIHJ01000027.1|:35358-36353|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ABZ3|UniRef50_P0ABZ3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,996,1,0.0.0.0,1.0040160642570282
gi|419392804|ref|NZ_AIHO01000047.1|:139944-141173|562|g__Escherichia.s__Escherichia_coli|UniRef90_P63342|UniRef50_P63342,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1230,2,0.0.0.0,1.6260162601626016
gi|545238711|ref|NZ_KE700534.1|:116288-117085|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AFQ9|UniRef50_P0AFQ9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,798,1,0.0.0.0,1.2531328320802004
gi|420124309|ref|NZ_AKBA01000463.1|:c5164-4274|562|g__Escherichia.s__Escherichia_coli|UniRef90_P02925|UniRef50_P02925,root;k_Bacteria,891,1,0.0.0.0,1.122334455667789
gi|487679061|ref|NZ_AQFK01000009.1|:500369-501262|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AB04|UniRef50_P0AB04,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,894,2,0.0.0.0,2.237136465324385
gi|554162467|ref|NZ_KI522559.1|:c63401-62478|562|g__Escherichia.s__Escherichia_coli|UniRef90_P31437|UniRef50_O33787,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,924,2,0.0.0.0,2.1645021645021645
gi|480990916|ref|NZ_AFOG01000073.1|:42962-43411|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ABL3|UniRef50_P0ABL3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,450,1,0.0.0.0,2.2222222222222223
gi|490098462|ref|NZ_AQDX01000028.1|:c4059-2041|562|g__Escherichia.s__Escherichia_coli|UniRef90_unknown|UniRef50_Q8XAR3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,2019,1,0.0.0.0,0.49529470034670625
gi|486154499|ref|NZ_APZS01000114.1|:50008-50832|562|g__Escherichia.s__Escherichia_coli|UniRef90_A7ZU14|UniRef50_B7V5G9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,825,1,5.1.1.7,1.2121212121212122
gi|485891743|ref|NZ_APYS01000171.1|:c31403-30675|562|g__Escherichia.s__Escherichia_coli|UniRef90_A7ZSA7|UniRef50_A7ZSA7,root;k_Bacteria,729,2,2.4.1.129,2.7434842249657065
gi|429948620|ref|NZ_KB021459.1|:c1918731-1917943|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AEK5|UniRef50_P44432,root;k_Bacteria,789,1,1.3.1.9,1.2674271229404308
gi|407466711|ref|NC_018661.1|:777363-777845|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q46866|UniRef50_Q46866,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,483,1,0.0.0.0,2.070393374741201
gi|424529595|ref|NZ_JH695870.1|:c287942-287148|562|g__Escherichia.s__Escherichia_coli|UniRef90_A8ALG9|UniRef50_B0TI92,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,795,1,4.1.1.50,1.2578616352201257
gi|256352932|ref|NZ_ACXN01000226.1|:c15300-14407|562|g__Escherichia.s__Escherichia_coli|UniRef90_P77559|UniRef50_P77559,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,894,1,0.0.0.0,1.1185682326621924
gi|422751614|ref|NZ_GL871897.1|:c132430-132062|562|g__Escherichia.s__Escherichia_coli|UniRef90_P76001|UniRef50_P76001,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,369,2,0.0.0.0,5.420054200542006
gi|545136623|ref|NZ_AVQT01000019.1|:38806-39210|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ABX4|UniRef50_P0A1I8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,405,1,0.0.0.0,2.4691358024691357
gi|557697643|ref|NZ_AYGW01000375.1|:17357-17803|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0A9B1|UniRef50_P33117,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,447,1,0.0.0.0,2.237136465324385
gi|430008923|ref|NZ_KB003348.1|:30647-31111|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ABY0|UniRef50_P0ABY0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,465,2,0.0.0.0,4.301075268817204
gi|452339498|ref|NZ_GL878082.1|:c235949-234849|562|g__Escherichia.s__Escherichia_coli|UniRef90_A8AP21|UniRef50_A0KZ99,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,1101,2,2.1.1.186,1.8165304268846503
gi|452339498|ref|NZ_GL878082.1|:c235949-234849|562|g__Escherichia.s__Escherichia_coli|UniRef90_A8AP21|UniRef50_A0KZ99,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1101,4,2.1.1.186,3.6330608537693005
gi|444939031|ref|NZ_AODZ01000272.1|:c34972-34178|562|g__Escherichia.s__Escherichia_coli|UniRef90_P39308|UniRef50_P39308,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,795,1,0.0.0.0,1.2578616352201257
gi|425413273|ref|NZ_JH946687.1|:c94607-93216|562|g__Escherichia.s__Escherichia_coli|UniRef90_A7ZTD9|UniRef50_Q8EKI8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,1392,3,2.9.1.1,2.1551724137931036
gi|430008872|ref|NZ_KB003297.1|:c3714-3034|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AF33|UniRef50_P0AF33,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,681,2,1.7.99.4,2.936857562408223
gi|485862335|ref|NZ_APYB01000045.1|:c228465-227806|562|g__Escherichia.s__Escherichia_coli|UniRef90_A1AFA2|UniRef50_A1AFA2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,660,2,5.3.1.6,3.0303030303030303
gi|429968594|ref|NZ_KB000836.1|:11480-13501|562|g__Escherichia.s__Escherichia_coli|UniRef90_A6T6L9|UniRef50_Q6A9K7,root;k_Bacteria,2022,1,0.0.0.0,0.4945598417408507
gi|444969057|ref|NZ_AOEF01000083.1|:54481-55542|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q8X9X2|UniRef50_Q8ZPD6,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1062,1,0.0.0.0,0.9416195856873822
gi|444971697|ref|NZ_AOEF01000161.1|:c36848-36039|562|g__Escherichia.s__Escherichia_coli|UniRef90_A7ZTI6|UniRef50_Q7MPS3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,810,4,3.2.2.23,4.938271604938271
gi|425396399|ref|NZ_JH946738.1|:c16558-15773|562|g__Escherichia.s__Escherichia_coli|UniRef90_P75713|UniRef50_P75713,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,786,1,3.5.3.26,1.272264631043257
gi|429963582|ref|NZ_KB005999.1|:102182-102904|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q3Z1V9|UniRef50_A8AGY5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,723,1,1.5.1.3,1.3831258644536653
gi|424079753|ref|NZ_JH692563.1|:c37219-36236|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AAG1|UniRef50_P45095,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,984,1,0.0.0.0,1.016260162601626
gi|430025763|ref|NZ_JH999833.1|:c135281-134136|562|g__Escherichia.s__Escherichia_coli|UniRef90_P23524|UniRef50_P23524,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1146,1,0.0.0.0,0.8726003490401397
gi|163779553|ref|NZ_ABHT01000010.1|:c71466-70309|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AD71|UniRef50_P0AD71,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1158,4,0.0.0.0,3.4542314335060453
gi|424482928|ref|NZ_JH702784.1|:181233-182732|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AFJ9|UniRef50_P0AFJ9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1500,1,0.0.0.0,0.6666666666666666
gi|163780313|ref|NZ_ABHP01000030.1|:20238-21320|562|g__Escherichia.s__Escherichia_coli|UniRef90_A8AG02|UniRef50_Q12F86,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1083,1,0.0.0.0,0.9233610341643583
gi|425098672|ref|NZ_JH970919.1|:c1933-1214|562|g__Escherichia.s__Escherichia_coli|UniRef90_P59640|UniRef50_P0AFT7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,720,1,0.0.0.0,1.3888888888888888
gi|545138799|ref|NZ_AVRE01000046.1|:c100969-99452|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q8FAT5|UniRef50_Q2P1U6,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1518,1,6.1.1.6,0.6587615283267457
gi|425349133|ref|NZ_JH953651.1|:103931-105301|562|g__Escherichia.s__Escherichia_coli|UniRef90_B7MHZ0|UniRef50_A6TCC4,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1371,1,3.1.11.6,0.7293946024799417
gi|425107204|ref|NZ_JH970109.1|:131215-132183|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AGB1|UniRef50_P0AGB1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,969,1,3.1.3.3,1.0319917440660475
gi|208805610|ref|NZ_ABHK02000001.1|:2433460-2433870|562|g__Escherichia.s__Escherichia_coli|UniRef90_B7MJ22|UniRef50_A7ZUQ1,root;k_Bacteria,411,1,0.0.0.0,2.4330900243309004
gi|452333090|ref|NZ_GL896788.1|:143168-144457|562|g__Escherichia.s__Escherichia_coli|UniRef90_P77337|UniRef50_Q8ZRW8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,1290,5,0.0.0.0,3.875968992248062
gi|163780303|ref|NZ_ABHP01000020.1|:21750-22412|562|g__Escherichia.s__Escherichia_coli|UniRef90_P58423|UniRef50_P58423,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,663,1,2.2.1.2,1.5082956259426847
gi|419103638|ref|NZ_AIFO01000032.1|:133217-134023|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AAH9|UniRef50_P36638,root;k_Bacteria,807,4,0.0.0.0,4.956629491945477
gi|425374900|ref|NZ_JH946235.1|:c101538-100543|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ACP6|UniRef50_P0ACP6,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,996,1,0.0.0.0,1.0040160642570282
gi|452721442|ref|NZ_AJMD01000039.1|:483130-483777|562|g__Escherichia.s__Escherichia_coli|UniRef90_A7ZVT7|UniRef50_A6TI09,root;k_Bacteria,648,1,0.0.0.0,1.5432098765432098
gi|424137125|ref|NZ_JH709052.1|:c15487-14438|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AFB6|UniRef50_P0A2E0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1050,1,2.7.13.3,0.9523809523809523
gi|208818172|ref|NZ_ABHM02000001.1|:3185744-3186520|562|g__Escherichia.s__Escherichia_coli|UniRef90_P69424|UniRef50_P69424,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,777,1,0.0.0.0,1.287001287001287
gi|163779969|ref|NZ_ABHR01000009.1|:c123578-122727|562|g__Escherichia.s__Escherichia_coli|UniRef90_P32677|UniRef50_P32677,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,852,1,0.0.0.0,1.1737089201877935
gi|425308666|ref|NZ_JH957942.1|:c171200-170595|562|g__Escherichia.s__Escherichia_coli|UniRef90_B7LWD9|UniRef50_Q6FEV8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,606,1,4.2.1.33,1.6501650165016502
gi|487396252|ref|NZ_AQBX01000081.1|:c47255-46740|562|g__Escherichia.s__Escherichia_coli|UniRef90_P75818|UniRef50_P75818,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,516,1,0.0.0.0,1.937984496124031
gi|425109985|ref|NZ_JH970390.1|:c33668-32265|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q8X769|UniRef50_Q8KTE1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1404,1,4.2.1.2,0.7122507122507123
gi|425240411|ref|NZ_JH956822.1|:14043-16577|562|g__Escherichia.s__Escherichia_coli|UniRef90_unknown|UniRef50_P02919,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,2535,1,2.4.1.129,0.3944773175542406
gi|416827474|ref|NZ_AEUB01000150.1|:209697-210107|562|g__Escherichia.s__Escherichia_coli|UniRef90_P26608|UniRef50_P26608,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,411,1,0.0.0.0,2.4330900243309004
gi|425318614|ref|NZ_JH965199.1|:c60828-60301|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AAK6|UniRef50_P0AAK6,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,528,1,0.0.0.0,1.8939393939393938
gi|424103005|ref|NZ_JH710322.1|:227901-229244|562|g__Escherichia.s__Escherichia_coli|UniRef90_P00370|UniRef50_B2RKJ1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1344,2,1.4.1.4,1.488095238095238
gi|545145572|ref|NZ_AVSC01000106.1|:c7941-6238|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ACE1|UniRef50_P0ACE1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1704,3,1.12.99.6,1.7605633802816902
gi|419069030|ref|NZ_AIFI01000041.1|:c211451-209910|562|g__Escherichia.s__Escherichia_coli|UniRef90_P07604|UniRef50_P07604,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1542,1,0.0.0.0,0.648508430609598
gi|487435821|ref|NZ_AQCR01000124.1|:c91798-91292|562|g__Escherichia.s__Escherichia_coli|UniRef90_A7ZRV0|UniRef50_B5REH0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,507,1,3.2.2.28,1.9723865877712032
gi|419051810|ref|NZ_AIFF01000052.1|:39071-40306|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q8X643|UniRef50_Q8X643,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1236,1,1.3.1.1,0.8090614886731392
gi|424558530|ref|NZ_JH694704.1|:c46197-44305|562|g__Escherichia.s__Escherichia_coli|UniRef90_S0AKI7|UniRef50_P43703,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1893,1,5.99.1.3,0.5282620179609087
gi|545165784|ref|NZ_KE699272.1|:c73509-73318|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q9S4W6|UniRef50_O82902,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,192,23,0.0.0.0,119.79166666666666
gi|545165784|ref|NZ_KE699272.1|:c73509-73318|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q9S4W6|UniRef50_O82902,root;k_Bacteria,192,1,0.0.0.0,5.208333333333333
gi|545164898|ref|NZ_KE699212.1|:354252-355097|562|g__Escherichia.s__Escherichia_coli|UniRef90_P77567|UniRef50_Q00267,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,846,1,2.3.1.118,1.1820330969267139
gi|452698371|ref|NZ_GL988050.1|:c2303354-2302458|562|g__Escherichia.s__Escherichia_coli|UniRef90_P76187|UniRef50_P76187,root;k_Bacteria,897,1,0.0.0.0,1.1148272017837235
gi|419105596|ref|NZ_AIFO01000054.1|:c103045-102731|562|g__Escherichia.s__Escherichia_coli|UniRef90_P64579|UniRef50_P64579,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,315,2,0.0.0.0,6.349206349206349
gi|15829254|ref|NC_002695.1|:4325698-4327896|562|g__Escherichia.s__Escherichia_coli|UniRef90_unknown|UniRef50_P37617,root;k_Bacteria,2199,1,3.6.3.5,0.45475216007276037
gi|545145379|ref|NZ_AVSB01000117.1|:8482-8913|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0C0L2|UniRef50_P0C0L2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,432,1,1.11.1.15,2.314814814814815
gi|487682974|ref|NZ_AQGI01000080.1|:1563-2852|562|g__Escherichia.s__Escherichia_coli|UniRef90_Q7UBD3|UniRef50_Q0T014,root;k_Bacteria,1290,1,2.1.1.176,0.7751937984496123
gi|445037652|ref|NZ_AOES01000021.1|:c7763-6903|562|g__Escherichia.s__Escherichia_coli|UniRef90_P39315|UniRef50_P39315,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,861,3,1.6.5.2,3.4843205574912894
gi|425112107|ref|NZ_JH970462.1|:c73634-71241|562|g__Escherichia.s__Escherichia_coli|UniRef90_unknown|UniRef50_P00490,root;k_Bacteria,2394,1,2.4.1.1,0.4177109440267335
gi|424079886|ref|NZ_JH692569.1|:17480-19588|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0AG25|UniRef50_Q9KNM2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,2109,1,3.1.7.2,0.474158368895211
gi|424118449|ref|NZ_JH711380.1|:36023-36895|562|g__Escherichia.s__Escherichia_coli|UniRef90_A7ZU91|UniRef50_Q6LLR8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,873,1,0.0.0.0,1.145475372279496
gi|419053728|ref|NZ_AIFF01000060.1|:c22252-20843|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0A9C7|UniRef50_A0R079,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1410,1,6.3.1.2,0.7092198581560284
gi|163780176|ref|NZ_ABHQ01000029.1|:c40087-38327|562|g__Escherichia.s__Escherichia_coli|UniRef90_P75838|UniRef50_P75838,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1761,1,0.0.0.0,0.5678591709256104
gi|421830782|ref|NZ_AMTQ01000042.1|:160131-162392|562|g__Escherichia.s__Escherichia_coli|UniRef90_unknown|UniRef50_P21179,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,2262,1,1.11.1.6,0.4420866489832007
gi|545147306|ref|NZ_AVSK01000131.1|:c51732-49984|562|g__Escherichia.s__Escherichia_coli|UniRef90_P32152|UniRef50_P32152,root;k_Bacteria,1749,1,0.0.0.0,0.5717552887364208
gi|545139159|ref|NZ_AVRG01000053.1|:253045-254778|562|g__Escherichia.s__Escherichia_coli|UniRef90_P0ADE5|UniRef50_D2TN56,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,1734,2,0.0.0.0,1.1534025374855825
gi|429061657|ref|NZ_ANMC01000163.1|:c103988-102924|562|g__Escherichia.s__Escherichia_coli|UniRef90_P06134|UniRef50_P06134,root,1065,1,2.1.1.63,0.9389671361502347
gi|424082033|ref|NZ_JH701600.1|:129931-131877|562|g__Escherichia.s__Escherichia_coli|UniRef90_unknown|UniRef50_Q32DZ9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1947,1,0.0.0.0,0.5136106831022085
