GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|422320815|ref|NZ_GL636045.1|:c24483-23272|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_R4XMS4|UniRef50_B2SD76,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,1212,1,0.0.0.0,0.8250825082508251
gi|483984778|ref|NZ_KB892668.1|:17352-18362|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003661577|UniRef50_R6VG96,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1011,1,0.0.0.0,0.9891196834817014
gi|483984660|ref|NZ_KB892654.1|:19448-20464|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000378314B|UniRef50_R6FGT5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1017,2,0.0.0.0,1.9665683382497543
gi|483984786|ref|NZ_KB892669.1|:c19515-18499|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_Q9CNY5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1017,4,5.1.3.2,3.9331366764995086
gi|483984649|ref|NZ_KB892653.1|:7246-8259|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036DA9F9|UniRef50_R6WKU5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1014,1,0.0.0.0,0.9861932938856016
gi|483984605|ref|NZ_KB892648.1|:31656-32669|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000381B912|UniRef50_UPI000381B912,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1014,9,0.0.0.0,8.875739644970414
gi|483984529|ref|NZ_KB892638.1|:360474-361490|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000477453F|UniRef50_R6QKN6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1017,3,0.0.0.0,2.9498525073746316
gi|483984529|ref|NZ_KB892638.1|:c79844-78837|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003709CDC|UniRef50_R5HXW9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1008,1,0.0.0.0,0.9920634920634921
gi|483984922|ref|NZ_KB892682.1|:187795-188805|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003745DEF|UniRef50_Q1G8H5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1011,1,1.1.1.94,0.9891196834817014
gi|483984517|ref|NZ_KB892637.1|:c77375-76365|33035|g__Blautia.s__Blautia_producta|UniRef90_D4LPL3|UniRef50_O05389,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1011,26,0.0.0.0,25.717111770524237
gi|483984517|ref|NZ_KB892637.1|:c22171-21164|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037AD464|UniRef50_UPI00037AD464,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1008,1,0.0.0.0,0.9920634920634921
gi|483985043|ref|NZ_KB892693.1|:51152-52159|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036372C2|UniRef50_Q04A69,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1008,1,6.3.1.1,0.9920634920634921
gi|483984529|ref|NZ_KB892638.1|:c33752-32778|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035FE081|UniRef50_D4MYK6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,975,2,0.0.0.0,2.0512820512820515
gi|483985143|ref|NZ_KB892704.1|:c77807-76830|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035CD193|UniRef50_D4LP57,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,978,1,0.0.0.0,1.0224948875255624
gi|483984529|ref|NZ_KB892638.1|:c242947-241973|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003730449|UniRef50_R6NWJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,975,5,0.0.0.0,5.128205128205129
gi|483984581|ref|NZ_KB892645.1|:45171-46145|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037D83D4|UniRef50_E6VKF3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,975,1,0.0.0.0,1.0256410256410258
gi|483984517|ref|NZ_KB892637.1|:c471567-470590|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000379020A|UniRef50_R6SAJ3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,978,4,0.0.0.0,4.08997955010225
gi|483984615|ref|NZ_KB892649.1|:65874-66851|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000376602D|UniRef50_R6QSL9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,978,1,0.0.0.0,1.0224948875255624
gi|483984541|ref|NZ_KB892639.1|:123170-124141|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000366011E|UniRef50_UPI000366011E,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,972,2,0.0.0.0,2.05761316872428
gi|483984517|ref|NZ_KB892637.1|:c157209-156241|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003651E27|UniRef50_R6NIJ8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,969,2,0.0.0.0,2.063983488132095
gi|483984668|ref|NZ_KB892655.1|:47684-48652|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0004762F4B|UniRef50_R5C5P1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,969,3,0.0.0.0,3.0959752321981426
gi|483984803|ref|NZ_KB892671.1|:c190515-189547|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000369DAB0|UniRef50_D8GIR5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,969,2,0.0.0.0,2.063983488132095
gi|483984770|ref|NZ_KB892667.1|:21958-22932|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003797A5F|UniRef50_UPI0003797A5F,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,975,3,0.0.0.0,3.076923076923077
gi|483984605|ref|NZ_KB892648.1|:22566-23540|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035D844B|UniRef50_R7AY27,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,975,5,0.0.0.0,5.128205128205129
gi|483984714|ref|NZ_KB892660.1|:c234987-234016|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003779BB9|UniRef50_R7K1N1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,972,8,0.0.0.0,8.23045267489712
gi|483984541|ref|NZ_KB892639.1|:c57618-56629|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003815EE0|UniRef50_R6WDY6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,990,5,0.0.0.0,5.05050505050505
gi|483984922|ref|NZ_KB892682.1|:50606-51595|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000475FD6C|UniRef50_C5EVY1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,990,7,0.0.0.0,7.070707070707071
gi|483984803|ref|NZ_KB892671.1|:c166942-165953|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037F2CDE|UniRef50_Q8FAD6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,990,6,2.1.3.3,6.0606060606060606
gi|483984517|ref|NZ_KB892637.1|:c40912-39923|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036472D9|UniRef50_R6NPR7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,990,1,0.0.0.0,1.0101010101010102
gi|483984562|ref|NZ_KB892642.1|:139931-140920|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000368BB04|UniRef50_R7CDW6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,990,1,0.0.0.0,1.0101010101010102
gi|483984529|ref|NZ_KB892638.1|:c40618-39629|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036A111F|UniRef50_UPI00036A111F,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,990,3,0.0.0.0,3.0303030303030303
gi|483985043|ref|NZ_KB892693.1|:217365-218351|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035E1C33|UniRef50_R6G8L9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,987,2,0.0.0.0,2.026342451874367
gi|483984688|ref|NZ_KB892657.1|:4832-5812|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000477C1C2|UniRef50_R5HDA3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,981,1,0.0.0.0,1.019367991845056
gi|483984660|ref|NZ_KB892654.1|:65847-66833|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000380C72E|UniRef50_R6RLE1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,987,1,0.0.0.0,1.0131712259371835
gi|483985136|ref|NZ_KB892703.1|:c135597-134614|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036A5869|UniRef50_R5GZ87,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,984,1,0.0.0.0,1.016260162601626
gi|483984517|ref|NZ_KB892637.1|:c466069-465086|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0004773965|UniRef50_UPI0004773965,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,984,2,0.0.0.0,2.032520325203252
gi|483984803|ref|NZ_KB892671.1|:c193443-192397|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036E5A46|UniRef50_R6NQQ7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1047,1,0.0.0.0,0.9551098376313276
gi|483984529|ref|NZ_KB892638.1|:c208804-207755|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037371D3|UniRef50_D4JXZ8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1050,3,0.0.0.0,2.857142857142857
gi|483984714|ref|NZ_KB892660.1|:c270442-269393|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035CED41|UniRef50_R6LX99,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1050,1,0.0.0.0,0.9523809523809523
gi|483985143|ref|NZ_KB892704.1|:c113316-112267|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000370F26D|UniRef50_A9KS30,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1050,4,2.1.1.199,3.8095238095238093
gi|483984529|ref|NZ_KB892638.1|:c297521-296475|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036B746B|UniRef50_R7N7F1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1047,4,0.0.0.0,3.8204393505253105
gi|483985136|ref|NZ_KB892703.1|:c234544-233498|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000361E866|UniRef50_A6LSK1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1047,6,2.1.1.192,5.730659025787966
gi|483984598|ref|NZ_KB892647.1|:46555-47607|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035DDCE7|UniRef50_D6DJH5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1053,1,0.0.0.0,0.9496676163342831
gi|483984529|ref|NZ_KB892638.1|:c100453-99401|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037AF18D|UniRef50_B2KES8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1053,1,0.0.0.0,0.9496676163342831
gi|483984529|ref|NZ_KB892638.1|:c249713-248664|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035F0F87|UniRef50_R7AHB0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1050,2,2.7.7.87,1.9047619047619047
gi|483984517|ref|NZ_KB892637.1|:c511167-510118|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000382A57D|UniRef50_UPI000382A57D,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1050,1,0.0.0.0,0.9523809523809523
gi|483985043|ref|NZ_KB892693.1|:130999-132039|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000369D5C1|UniRef50_R6RD69,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1041,1,0.0.0.0,0.9606147934678195
gi|483984589|ref|NZ_KB892646.1|:c25946-24906|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003755AE3|UniRef50_UPI0003755AE3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1041,6,0.0.0.0,5.763688760806917
gi|483984605|ref|NZ_KB892648.1|:23544-24584|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000381E308|UniRef50_R6WBQ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1041,2,0.0.0.0,1.921229586935639
gi|483984529|ref|NZ_KB892638.1|:c187160-186117|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003757CE2|UniRef50_D6TVZ4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1044,2,2.7.9.3,1.9157088122605364
gi|483984829|ref|NZ_KB892674.1|:c7614-6568|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037C0F3E|UniRef50_R6VBW2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1047,7,0.0.0.0,6.685768863419294
gi|483984517|ref|NZ_KB892637.1|:c78629-77586|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035D65D2|UniRef50_D4LPL2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1044,3,0.0.0.0,2.8735632183908044
gi|483984517|ref|NZ_KB892637.1|:557506-558573|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003756AE4|UniRef50_Q97GY4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1068,9,2.4.1.227,8.42696629213483
gi|483984529|ref|NZ_KB892638.1|:c295626-294553|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003818E18|UniRef50_B8JAU2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1074,3,0.0.0.0,2.793296089385475
gi|483984706|ref|NZ_KB892659.1|:37320-38393|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NAF4|UniRef50_Q9CGD4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1074,1,3.6.3.31,0.9310986964618249
gi|483984605|ref|NZ_KB892648.1|:c92814-91747|33035|g__Blautia.s__Blautia_producta|UniRef90_D3APC6|UniRef50_Q82ZC9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1068,8,4.2.1.8,7.49063670411985
gi|483984545|ref|NZ_KB892640.1|:c196144-195089|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035C0BC2|UniRef50_Q634Q9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1056,7,1.17.7.3,6.628787878787879
gi|483985136|ref|NZ_KB892703.1|:254103-255158|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000381B03C|UniRef50_UPI000381B03C,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1056,1,0.0.0.0,0.9469696969696969
gi|483984562|ref|NZ_KB892642.1|:c12909-11854|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037DEB73|UniRef50_R6SGD0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1056,3,0.0.0.0,2.840909090909091
gi|483984626|ref|NZ_KB892651.1|:27501-28556|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003708EB3|UniRef50_R7JV26,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1056,11,0.0.0.0,10.416666666666666
gi|483985143|ref|NZ_KB892704.1|:c61572-60511|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035C444F|UniRef50_R6WBH6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1062,3,0.0.0.0,2.8248587570621466
gi|483984922|ref|NZ_KB892682.1|:235078-236139|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000475AF59|UniRef50_R6BXF1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1062,5,0.0.0.0,4.708097928436911
gi|483984529|ref|NZ_KB892638.1|:318780-319841|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037FB0DE|UniRef50_F0PBW6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1062,1,0.0.0.0,0.9416195856873822
gi|483984589|ref|NZ_KB892646.1|:76983-78044|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003695469|UniRef50_R5XZE0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1062,2,0.0.0.0,1.8832391713747645
gi|483984714|ref|NZ_KB892660.1|:c122371-121313|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037C21A9|UniRef50_D6DM26,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1059,1,0.0.0.0,0.9442870632672333
gi|483984803|ref|NZ_KB892671.1|:259456-260511|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037C804C|UniRef50_D9R2Y9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1056,7,0.0.0.0,6.628787878787879
gi|483984706|ref|NZ_KB892659.1|:c37071-36013|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037EE668|UniRef50_R6V2S6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1059,3,0.0.0.0,2.8328611898017
gi|483984922|ref|NZ_KB892682.1|:90822-91880|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003634B85|UniRef50_R6GC12,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1059,1,0.0.0.0,0.9442870632672333
gi|483984727|ref|NZ_KB892662.1|:30085-31110|33035|g__Blautia.s__Blautia_producta|UniRef90_R6V365|UniRef50_Q5F973,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1026,1,6.3.3.1,0.9746588693957114
gi|483984803|ref|NZ_KB892671.1|:c256345-255320|33035|g__Blautia.s__Blautia_producta|UniRef90_R9NFQ8|UniRef50_R6G7H9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1026,5,0.0.0.0,4.8732943469785575
gi|483985043|ref|NZ_KB892693.1|:235504-236529|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000371A589|UniRef50_D6DIN2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1026,1,0.0.0.0,0.9746588693957114
gi|483985143|ref|NZ_KB892704.1|:189773-190801|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003751770|UniRef50_R5B2Y0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1029,1,0.0.0.0,0.9718172983479106
gi|483984529|ref|NZ_KB892638.1|:c55079-54051|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003783054|UniRef50_R5AZU0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1029,22,0.0.0.0,21.379980563654033
gi|483984545|ref|NZ_KB892640.1|:198881-199906|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037F5535|UniRef50_P54689,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1026,8,2.6.1.42,7.797270955165692
gi|483985136|ref|NZ_KB892703.1|:c203348-202323|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NAH2|UniRef50_R6E9T6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1026,2,0.0.0.0,1.949317738791423
gi|483984649|ref|NZ_KB892653.1|:8619-9638|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NNV6|UniRef50_A8AWJ8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1020,1,6.1.1.20,0.9803921568627451
gi|483984517|ref|NZ_KB892637.1|:c87435-86416|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037A85C4|UniRef50_R6QC27,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1020,5,0.0.0.0,4.901960784313726
gi|483984922|ref|NZ_KB892682.1|:77342-78358|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003601F99|UniRef50_D4JB78,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1017,3,2.7.13.3,2.9498525073746316
gi|483984795|ref|NZ_KB892670.1|:8201-9217|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037A0A83|UniRef50_UPI00037A0A83,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1017,1,0.0.0.0,0.9832841691248771
gi|483984615|ref|NZ_KB892649.1|:155707-156729|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035F34CE|UniRef50_UPI00035F34CE,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1023,1,0.0.0.0,0.9775171065493647
gi|483984589|ref|NZ_KB892646.1|:c32707-31685|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036561FE|UniRef50_R7C6Q0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1023,3,0.0.0.0,2.932551319648094
gi|483984615|ref|NZ_KB892649.1|:c119235-118213|33035|g__Blautia.s__Blautia_producta|UniRef90_R6VJW3|UniRef50_R6VJW3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1023,2,0.0.0.0,1.9550342130987295
gi|483984714|ref|NZ_KB892660.1|:c181670-180651|33035|g__Blautia.s__Blautia_producta|UniRef90_R6PFB6|UniRef50_P0C0G7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1020,12,0.0.0.0,11.76470588235294
gi|483984529|ref|NZ_KB892638.1|:c65779-64757|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000476CC2F|UniRef50_R5TWE5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1023,3,0.0.0.0,2.932551319648094
