GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|423332908|ref|NZ_JH976496.1|:1-433|823|g__Parabacteroides.s__Parabacteroides_distasonis|UniRef90_K5ZEM5|UniRef50_K5ZEM5,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,433,42804,0.0.0.0,98854.50346420324
gi|498503065|ref|NZ_KB822571.1|:c890285-889584|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AMG1|UniRef50_K6AMG1,unclassified,702,20,0.0.0.0,28.490028490028493
gi|498503065|ref|NZ_KB822571.1|:1624438-1625388|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AVE4|UniRef50_R6LPQ1,unclassified,951,27,0.0.0.0,28.391167192429023
gi|522837953|ref|NZ_KE159519.1|:c508760-505554|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Y8F0|UniRef50_K5Y8F0,unclassified,3207,91,0.0.0.0,28.37542874961023
gi|490134789|ref|NZ_KB822565.1|:c616694-616413|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZNH9|UniRef50_R5AC63,unclassified,282,8,0.0.0.0,28.368794326241137
gi|406351886|ref|NZ_JH815273.1|:c237865-237725|457400|g__Escherichia.s__Escherichia_sp_1_1_43|UniRef90_unknown|UniRef50_C1P613,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,141,4,0.0.0.0,28.368794326241137
gi|522837947|ref|NZ_KE159513.1|:c1161851-1161252|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AV43|UniRef50_R6Z3Y5,unclassified,600,17,0.0.0.0,28.333333333333336
gi|490134789|ref|NZ_KB822565.1|:c1029609-1029151|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZL92|UniRef50_N1ZL92,unclassified,459,13,0.0.0.0,28.322440087145967
gi|146386242|ref|NZ_AAYG02000026.1|:11610-11927|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_UPI0001532979|UniRef50_F5XS62,root;k_Bacteria,318,9,0.0.0.0,28.30188679245283
gi|522837947|ref|NZ_KE159513.1|:c692753-691482|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B046|UniRef50_N2B046,unclassified,1272,36,0.0.0.0,28.30188679245283
gi|82793897|ref|XM_723129.1||5861|g__Plasmodium.s__Plasmodium_yoelii|UniRef90_Q7R849|UniRef50_Q6TUG6,unclassified,920,26,0.0.0.0,28.26086956521739
gi|490134789|ref|NZ_KB822565.1|:c814837-814661|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZQA9|UniRef50_N1ZQA9,unclassified,177,5,0.0.0.0,28.24858757062147
gi|490134789|ref|NZ_KB822565.1|:c948865-948476|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZFS0|UniRef50_N1ZFS0,unclassified,390,11,0.0.0.0,28.205128205128204
gi|498503065|ref|NZ_KB822571.1|:c279564-278641|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_R7JJL0,unclassified,924,26,0.0.0.0,28.138528138528137
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root,249,7,0.0.0.0,28.11244979919679
gi|498503065|ref|NZ_KB822571.1|:c2408628-2407132|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6ARL0|UniRef50_G8UNX0,unclassified,1497,42,0.0.0.0,28.056112224448896
gi|146337175|ref|NC_009445.1|:185987-186700|114615|g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_278|UniRef90_A4YJR3|UniRef50_C4LJY5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales,714,20,2.7.7.56,28.011204481792717
gi|410101290|ref|NZ_JH976476.1|:c131353-130421|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZBC1|UniRef50_K5ZBC1,unclassified,933,26,0.0.0.0,27.867095391211144
gi|498503065|ref|NZ_KB822571.1|:c534561-533593|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2B6Q0|UniRef50_R5ERW2,unclassified,969,27,0.0.0.0,27.863777089783284
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,unclassified,144,4,0.0.0.0,27.77777777777778
gi|498503065|ref|NZ_KB822571.1|:c4714656-4713937|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y287|UniRef50_A6L995,unclassified,720,20,0.0.0.0,27.77777777777778
gi|339441064|ref|NC_015737.1|:c2833883-2833596|1042156|g__Clostridium.s__Clostridium_sp_SY8519|UniRef90_F7V7F8|UniRef50_F7V7F8,unclassified,288,8,0.0.0.0,27.77777777777778
gi|498503065|ref|NZ_KB822571.1|:c541254-539560|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2B6Q5|UniRef50_R6KII4,unclassified,1695,47,0.0.0.0,27.72861356932153
gi|522837947|ref|NZ_KE159513.1|:c1241728-1240538|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AQG2|UniRef50_K5ZHY3,unclassified,1191,33,0.0.0.0,27.707808564231737
gi|410101286|ref|NZ_JH976472.1|:c1162853-1162311|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6XC92|UniRef50_W0F156,unclassified,543,15,0.0.0.0,27.624309392265193
gi|490148212|ref|NZ_KB822402.1|:c577126-576113|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_D8ILT9|UniRef50_P0C0G7,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus salivarius,1014,28,0.0.0.0,27.613412228796843
gi|498503065|ref|NZ_KB822571.1|:c6156725-6156219|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZKJ6|UniRef50_R5DHY5,unclassified,507,14,0.0.0.0,27.613412228796843
gi|498503065|ref|NZ_KB822571.1|:3851743-3853086|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5DBG0|UniRef50_Q54J34,unclassified,1344,37,4.3.2.2,27.5297619047619
gi|498503065|ref|NZ_KB822571.1|:c5599864-5598593|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2B046|UniRef50_N2B046,unclassified,1272,35,0.0.0.0,27.51572327044025
gi|498503065|ref|NZ_KB822571.1|:c465804-464530|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R6WVL3|UniRef50_Q2S1G4,unclassified,1275,35,6.1.1.11,27.450980392156865
gi|498503065|ref|NZ_KB822571.1|:4096959-4097432|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZUN5|UniRef50_A6LIG3,unclassified,474,13,0.0.0.0,27.426160337552744
gi|522837947|ref|NZ_KE159513.1|:c1975467-1975249|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2ASQ3|UniRef50_N2ASQ3,unclassified,219,6,0.0.0.0,27.397260273972602
gi|490134789|ref|NZ_KB822565.1|:c2957-2739|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZQ22|UniRef50_N1ZQ22,unclassified,219,6,0.0.0.0,27.397260273972602
gi|498503065|ref|NZ_KB822571.1|:c6738189-6737971|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2ASQ3|UniRef50_N2ASQ3,unclassified,219,6,0.0.0.0,27.397260273972602
gi|498503065|ref|NZ_KB822571.1|:3853147-3854646|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZU12|UniRef50_R5AML8,unclassified,1500,41,0.0.0.0,27.333333333333332
gi|498503065|ref|NZ_KB822571.1|:1723138-1723869|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5DPL5|UniRef50_Q9AE24,unclassified,732,20,0.0.0.0,27.3224043715847
gi|522837953|ref|NZ_KE159519.1|:267283-267648|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Y2H5|UniRef50_K5Y2H5,unclassified,366,10,0.0.0.0,27.3224043715847
gi|522837954|ref|NZ_KE159520.1|:c1179184-1178453|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5DPL5|UniRef50_Q9AE24,unclassified,732,20,0.0.0.0,27.3224043715847
gi|522837953|ref|NZ_KE159519.1|:c1348758-1347769|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZEL4|UniRef50_K5ZEL4,unclassified,990,27,0.0.0.0,27.272727272727273
gi|335041404|ref|NZ_AFCE01000217.1|:714-1043|296745|g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum|UniRef90_F5LB77|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,330,9,0.0.0.0,27.27272727272727
gi|498503065|ref|NZ_KB822571.1|:5581180-5582097|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_R5DPU0,unclassified,918,25,0.0.0.0,27.233115468409586
gi|498503065|ref|NZ_KB822571.1|:1579533-1581332|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R6WWF6|UniRef50_E4T141,unclassified,1800,49,0.0.0.0,27.22222222222222
gi|522837953|ref|NZ_KE159519.1|:1080072-1083341|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_R7P1T9,unclassified,3270,89,0.0.0.0,27.217125382262996
gi|498503065|ref|NZ_KB822571.1|:c4480112-4479819|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y8I8|UniRef50_K5Y8I8,unclassified,294,8,0.0.0.0,27.2108843537415
gi|522837954|ref|NZ_KE159520.1|:355323-356939|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B6P7|UniRef50_R6ZPB5,unclassified,1617,44,0.0.0.0,27.2108843537415
gi|490136654|ref|NZ_KB822566.1|:832781-832927|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZF46|UniRef50_N1ZF46,unclassified,147,4,0.0.0.0,27.2108843537415
gi|484115252|ref|NZ_AJXF01000995.1|:c2953-2513|294|g__Pseudomonas.s__Pseudomonas_fluorescens|UniRef90_unknown|UniRef50_A5W374,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas resinovorans,441,12,0.0.0.0,27.210884353741495
gi|410101285|ref|NZ_JH976471.1|:c52482-51931|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEH6|UniRef50_A6KYI0,unclassified,552,15,0.0.0.0,27.173913043478258
gi|522837954|ref|NZ_KE159520.1|:1229767-1231239|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUN2|UniRef50_R6ID17,unclassified,1473,40,0.0.0.0,27.155465037338764
gi|498503065|ref|NZ_KB822571.1|:c1892112-1890934|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZU79|UniRef50_R5D9B5,unclassified,1179,32,0.0.0.0,27.141645462256147
gi|377684864|ref|NZ_CM001194.1|:455113-455370|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_A0A031LVH8|UniRef50_B0VEB2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,258,7,0.0.0.0,27.131782945736433
gi|555552997|ref|NZ_KI530589.1|:124655-125428|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2Q8T0|UniRef50_V2Q8T0,unclassified,774,21,0.0.0.0,27.131782945736433
gi|498503065|ref|NZ_KB822571.1|:842703-845471|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2BA98|UniRef50_R6WMH5,unclassified,2769,75,0.0.0.0,27.085590465872155
gi|498503065|ref|NZ_KB822571.1|:83954-84175|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R6X2N4|UniRef50_R6X2N4,unclassified,222,6,0.0.0.0,27.027027027027028
gi|498503065|ref|NZ_KB822571.1|:c6253618-6253175|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Z5G8|UniRef50_A6LFW4,unclassified,444,12,0.0.0.0,27.027027027027028
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,unclassified,333,9,0.0.0.0,27.027027027027025
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,333,9,0.0.0.0,27.027027027027025
gi|522837955|ref|NZ_KE159521.1|:c245280-244615|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2BGZ1|UniRef50_N2BGZ1,unclassified,666,18,0.0.0.0,27.027027027027025
gi|410101288|ref|NZ_JH976474.1|:c433102-431882|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A5C7|UniRef50_R6WUD9,unclassified,1221,33,0.0.0.0,27.027027027027025
gi|498503065|ref|NZ_KB822571.1|:c6809542-6808802|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZLE3|UniRef50_R5DKJ4,unclassified,741,20,0.0.0.0,26.99055330634278
gi|522837947|ref|NZ_KE159513.1|:1425705-1426445|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZFR8|UniRef50_R5DG12,unclassified,741,20,0.0.0.0,26.99055330634278
gi|544788363|ref|NZ_ATAZ01000061.1|:c789-493|1245|g__Leuconostoc.s__Leuconostoc_mesenteroides|UniRef90_C7T9B1|UniRef50_L0CZD0,root;k_Bacteria,297,8,0.0.0.0,26.936026936026938
gi|522837955|ref|NZ_KE159521.1|:c275183-272166|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z1A3|UniRef50_R9HEN1,unclassified,3018,81,0.0.0.0,26.8389662027833
gi|498503065|ref|NZ_KB822571.1|:4330053-4330313|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZH96|UniRef50_K5ZH96,unclassified,261,7,0.0.0.0,26.81992337164751
gi|483984922|ref|NZ_KB892682.1|:202740-204866|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_H6LD23,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2127,57,0.0.0.0,26.79830747531735
gi|555549731|ref|NZ_KI530584.1|:210024-211292|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QAR4|UniRef50_Q02136,unclassified,1269,34,1.1.1.23,26.792750197005518
gi|498503065|ref|NZ_KB822571.1|:5345205-5346773|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Z079|UniRef50_R6IJE9,unclassified,1569,42,0.0.0.0,26.76864244741874
gi|498503065|ref|NZ_KB822571.1|:c3805398-3804988|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AGH2|UniRef50_R5MKF6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella forsythia,411,11,0.0.0.0,26.763990267639905
gi|405322164|ref|NZ_JH815205.1|:720943-721653|487174|g__Barnesiella.s__Barnesiella_intestinihominis|UniRef90_K0WTB3|UniRef50_K0WTB3,root,711,19,0.0.0.0,26.722925457102672
gi|498503065|ref|NZ_KB822571.1|:4902843-4903703|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5I7R5|UniRef50_R5SPN7,unclassified,861,23,0.0.0.0,26.713124274099883
gi|490148212|ref|NZ_KB822402.1|:c395541-394492|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N2A0V5|UniRef50_A5VJE5,unclassified,1050,28,0.0.0.0,26.666666666666664
gi|522837960|ref|NZ_KE159526.1|:15363-16715|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6ABB5|UniRef50_Q7MW80,unclassified,1353,36,5.2.1.8,26.607538802660756
gi|522837955|ref|NZ_KE159521.1|:c247852-246158|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B6Q5|UniRef50_R6KII4,unclassified,1695,45,0.0.0.0,26.548672566371682
gi|490134789|ref|NZ_KB822565.1|:c165777-165250|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZTZ1|UniRef50_R5AFN9,unclassified,528,14,0.0.0.0,26.515151515151516
gi|294932017|ref|XM_002780053.1||31276|g__Perkinsus.s__Perkinsus_marinus|UniRef90_C5K6Y2|UniRef50_C5K6Y2,unclassified,151,4,0.0.0.0,26.490066225165563
gi|522837967|ref|NZ_KE159717.1|:c90517-90140|1235798|g__Dorea.s__Dorea_sp_5_2|UniRef90_C4ZE54|UniRef50_Q893D4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,378,10,0.0.0.0,26.455026455026456
gi|189351978|ref|NC_010805.1|:2151359-2151547|87883|g__Burkholderia.s__Burkholderia_multivorans|UniRef90_B3D9T0|UniRef50_B3D9T0,unclassified,189,5,0.0.0.0,26.455026455026456
gi|490151422|ref|NZ_KB822406.1|:186669-187046|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZIP8|UniRef50_P45871,unclassified,378,10,0.0.0.0,26.455026455026456
gi|498503065|ref|NZ_KB822571.1|:830066-830254|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R6WSU5|UniRef50_R6IQK3,unclassified,189,5,0.0.0.0,26.455026455026456
gi|498503065|ref|NZ_KB822571.1|:2900468-2901904|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6A2X3|UniRef50_R7JCM9,unclassified,1437,38,0.0.0.0,26.443980514961726
gi|498503065|ref|NZ_KB822571.1|:5411078-5411950|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6L9P3|UniRef50_R5MK66,unclassified,873,23,2.3.1.245,26.345933562428407
gi|522837954|ref|NZ_KE159520.1|:417902-418852|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2BBI2|UniRef50_R5R6W5,unclassified,951,25,0.0.0.0,26.288117770767613
gi|522837954|ref|NZ_KE159520.1|:299494-300102|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A294|UniRef50_K6A294,unclassified,609,16,0.0.0.0,26.272577996715928
gi|484031031|ref|NZ_HE817967.1|:2035138-2036244|36809|g__Mycobacterium.s__Mycobacterium_abscessus|UniRef90_I6Z1D7|UniRef50_I6Z1D7,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium chubuense,1107,29,0.0.0.0,26.196928635953025
gi|522837953|ref|NZ_KE159519.1|:c579529-579110|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZU80|UniRef50_R6IZ14,unclassified,420,11,0.0.0.0,26.19047619047619
gi|490138742|ref|NZ_KB822570.1|:c4222-3230|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZE53|UniRef50_Q7UQD2,unclassified,993,26,0.0.0.0,26.183282980866064
gi|498503065|ref|NZ_KB822571.1|:1807296-1808099|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZTX4|UniRef50_A6L1N4,unclassified,804,21,2.1.1.182,26.119402985074625
gi|555546126|ref|NZ_KI530573.1|:c640031-639381|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QDD8|UniRef50_P76458,unclassified,651,17,0.0.0.0,26.113671274961597
gi|498503065|ref|NZ_KB822571.1|:c928356-926824|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2BB15|UniRef50_N2BB15,root;k_Bacteria;p_Chlorobi;c_Chlorobia;o_Chlorobiales;f_Chlorobiaceae;g_Chlorobium,1533,40,0.0.0.0,26.092628832354862
gi|483984922|ref|NZ_KB892682.1|:134916-135260|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036AFBED|UniRef50_C4Z927,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,345,9,0.0.0.0,26.086956521739133
gi|490150767|ref|NZ_KB822405.1|:c3605-1|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZPE1|UniRef50_N1ZPE1,unclassified,3605,94,0.0.0.0,26.0748959778086
gi|68064206|ref|XM_669006.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YJY6|UniRef50_C6EQK5,unclassified,691,18,0.0.0.0,26.04920405209841
gi|498503065|ref|NZ_KB822571.1|:c2307710-2306133|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6ARG4|UniRef50_K6ARG4,unclassified,1578,41,0.0.0.0,25.982256020278832
gi|262384936|ref|NZ_GG705172.1|:15-245|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_W1I8G9|UniRef50_W1I8G9,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,231,6,0.0.0.0,25.974025974025974
gi|498503065|ref|NZ_KB822571.1|:c2211643-2211413|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2B7I2|UniRef50_N2B7I2,unclassified,231,6,0.0.0.0,25.974025974025974
gi|223667570|ref|NZ_DS264390.1|:691-921|88431|g__Dorea.s__Dorea_longicatena|UniRef90_A6BKY9|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,231,6,0.0.0.0,25.974025974025974
gi|522837956|ref|NZ_KE159522.1|:135913-136644|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YG08|UniRef50_B2RJ15,unclassified,732,19,2.7.7.60,25.956284153005466
gi|483984517|ref|NZ_KB892637.1|:c282064-281525|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036B3A1A|UniRef50_R5QI60,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,540,14,0.0.0.0,25.925925925925924
gi|512436197|ref|NZ_KE159485.1|:923268-923537|820|g__Bacteroides.s__Bacteroides_uniformis|UniRef90_R9HY20|UniRef50_Q89Z82,unclassified,270,7,0.0.0.0,25.925925925925924
gi|490134789|ref|NZ_KB822565.1|:c877447-876908|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_R6QZB7|UniRef50_Q4JT81,unclassified,540,14,0.0.0.0,25.925925925925924
gi|498503065|ref|NZ_KB822571.1|:c2815925-2815656|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5DDG8|UniRef50_Q11U60,unclassified,270,7,0.0.0.0,25.925925925925924
gi|522837953|ref|NZ_KE159519.1|:c1656764-1656186|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6HK45|UniRef50_D6D367,unclassified,579,15,0.0.0.0,25.90673575129534
gi|498503065|ref|NZ_KB822571.1|:996007-996315|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_E1WQV8,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,309,8,0.0.0.0,25.889967637540455
gi|522837956|ref|NZ_KE159522.1|:c280148-279801|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YHC7|UniRef50_K5YHC7,unclassified,348,9,0.0.0.0,25.862068965517242
gi|417861914|ref|NZ_AFSD01000004.1|:61794-62528|358|g__Agrobacterium.s__Agrobacterium_tumefaciens|UniRef90_F0LAB9|UniRef50_Q39LW7,unclassified,735,19,0.0.0.0,25.850340136054424
gi|555554272|ref|NZ_KI530591.1|:c1001-228|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2RGX3|UniRef50_V2RGX3,unclassified,774,20,0.0.0.0,25.839793281653748
gi|522837953|ref|NZ_KE159519.1|:415286-415711|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B5N3|UniRef50_N2B5N3,unclassified,426,11,0.0.0.0,25.821596244131456
gi|490136654|ref|NZ_KB822566.1|:23092-24138|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z9U1|UniRef50_R5AKA2,unclassified,1047,27,0.0.0.0,25.787965616045845
gi|498503065|ref|NZ_KB822571.1|:2520139-2520798|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZRR7|UniRef50_E6SSZ0,unclassified,660,17,0.0.0.0,25.757575757575758
gi|522837954|ref|NZ_KE159520.1|:798353-798664|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A0A015WP24|UniRef50_F0R740,unclassified,312,8,0.0.0.0,25.641025641025642
gi|522837947|ref|NZ_KE159513.1|:2251724-2252113|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZY62|UniRef50_K5Y619,unclassified,390,10,0.0.0.0,25.64102564102564
gi|522837947|ref|NZ_KE159513.1|:c2308405-2308211|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_A6LCU2,unclassified,195,5,0.0.0.0,25.64102564102564
gi|490134789|ref|NZ_KB822565.1|:473511-476244|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZHM2|UniRef50_N1ZHM2,unclassified,2734,70,0.0.0.0,25.603511338697878
gi|498503065|ref|NZ_KB822571.1|:4403649-4406855|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y8F0|UniRef50_K5Y8F0,unclassified,3207,82,0.0.0.0,25.569067664483942
gi|498503065|ref|NZ_KB822571.1|:4775296-4777290|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_unknown,unclassified,1995,51,0.0.0.0,25.563909774436087
gi|490152588|ref|NZ_KB822409.1|:17543-18520|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZUR7|UniRef50_D5GZ73,unclassified,978,25,0.0.0.0,25.56237218813906
gi|498503065|ref|NZ_KB822571.1|:125780-127072|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R6WWI4|UniRef50_D5ESJ2,unclassified,1293,33,0.0.0.0,25.52204176334107
