GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|359796355|ref|NZ_AGUF01000026.1|:22619-23782|1147684|g__Achromobacter.s__Achromobacter_arsenitoxydans|UniRef90_R4XPD9|UniRef50_Q5P917,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Methylobacterium,1164,1,0.0.0.0,0.859106529209622
gi|483984581|ref|NZ_KB892645.1|:7321-8709|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000380FC82|UniRef50_F5YRD3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1389,4,0.0.0.0,2.8797696184305255
gi|483984922|ref|NZ_KB892682.1|:229102-230487|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003634831|UniRef50_R5BXC6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1386,2,0.0.0.0,1.443001443001443
gi|483985043|ref|NZ_KB892693.1|:108234-109742|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035D2182|UniRef50_R7JTZ3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1509,4,0.0.0.0,2.6507620941020544
gi|483984529|ref|NZ_KB892638.1|:c308292-306772|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036E57F4|UniRef50_R6WEJ7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1521,5,0.0.0.0,3.287310979618672
gi|483984697|ref|NZ_KB892658.1|:20279-21802|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037E888F|UniRef50_I4CEF4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1524,85,0.0.0.0,55.7742782152231
gi|483985043|ref|NZ_KB892693.1|:48037-49551|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003633137|UniRef50_E7CY70,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1515,11,3.2.1.55,7.2607260726072615
gi|483985043|ref|NZ_KB892693.1|:229237-230733|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000381C144|UniRef50_A9KS63,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1497,3,0.0.0.0,2.004008016032064
gi|483984562|ref|NZ_KB892642.1|:c81778-80270|33035|g__Blautia.s__Blautia_producta|UniRef90_R6PDZ3|UniRef50_Q73KK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1509,1,3.6.3.17,0.6626905235255136
gi|483984517|ref|NZ_KB892637.1|:c437131-435587|33035|g__Blautia.s__Blautia_producta|UniRef90_R6VHZ1|UniRef50_Q7UFS3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1545,5,6.3.5.2,3.236245954692557
gi|483985136|ref|NZ_KB892703.1|:c245684-244143|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000367AAD2|UniRef50_UPI000367AAD2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1542,1,0.0.0.0,0.648508430609598
gi|483984714|ref|NZ_KB892660.1|:c32836-31295|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036393DE|UniRef50_R5IS03,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1542,2,0.0.0.0,1.297016861219196
gi|483985125|ref|NZ_KB892702.1|:74834-76360|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037C2841|UniRef50_R5LX94,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1527,2,0.0.0.0,1.309757694826457
gi|483985125|ref|NZ_KB892702.1|:245509-247032|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003742FB0|UniRef50_R5C9E9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1524,1,0.0.0.0,0.6561679790026247
gi|483984517|ref|NZ_KB892637.1|:c59281-57743|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035ED02C|UniRef50_R5S169,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1539,4,0.0.0.0,2.5990903183885643
gi|483984668|ref|NZ_KB892655.1|:50244-51776|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003778B56|UniRef50_R6EFJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1533,3,0.0.0.0,1.9569471624266146
gi|483984922|ref|NZ_KB892682.1|:261677-263212|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000361F2D8|UniRef50_R7CJ95,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1536,1,0.0.0.0,0.6510416666666666
gi|483984517|ref|NZ_KB892637.1|:c60870-59335|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NIL5|UniRef50_Q7NCB3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1536,5,4.3.1.3,3.2552083333333335
gi|483984541|ref|NZ_KB892639.1|:c70196-68739|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000371ACDF|UniRef50_A9KMU9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1458,1,2.8.4.3,0.6858710562414266
gi|483984803|ref|NZ_KB892671.1|:201563-203026|33035|g__Blautia.s__Blautia_producta|UniRef90_R6WKL6|UniRef50_D4LM41,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1464,6,6.3.4.21,4.098360655737705
gi|483984922|ref|NZ_KB892682.1|:138009-139454|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000379D566|UniRef50_R6R1L9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1446,6,2.1.1.228,4.149377593360996
gi|483984714|ref|NZ_KB892660.1|:c207142-205700|33035|g__Blautia.s__Blautia_producta|UniRef90_R6RMN9|UniRef50_A4IS20,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1443,1,2.4.1.21,0.693000693000693
gi|483984581|ref|NZ_KB892645.1|:89241-90689|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035E9D8A|UniRef50_R5HE32,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1449,2,0.0.0.0,1.3802622498274673
gi|483984581|ref|NZ_KB892645.1|:8693-10141|33035|g__Blautia.s__Blautia_producta|UniRef90_R6VBU8|UniRef50_Q5V466,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1449,1,5.4.99.1,0.6901311249137336
gi|483984803|ref|NZ_KB892671.1|:c128433-126985|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003782DE6|UniRef50_D3AC04,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1449,3,0.0.0.0,2.070393374741201
gi|483985143|ref|NZ_KB892704.1|:c186645-185152|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037ED3BE|UniRef50_UPI00037ED3BE,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1494,1,0.0.0.0,0.6693440428380187
gi|483984568|ref|NZ_KB892643.1|:c122854-121358|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036C475F|UniRef50_UPI00036C475F,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1497,12,0.0.0.0,8.016032064128256
gi|483984922|ref|NZ_KB892682.1|:102997-104487|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003698689|UniRef50_Q97EZ4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1491,1,2.7.7.12,0.670690811535882
gi|483984922|ref|NZ_KB892682.1|:220336-221805|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000364BAB8|UniRef50_D4MWQ0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1470,5,0.0.0.0,3.4013605442176873
gi|483984545|ref|NZ_KB892640.1|:c83222-81750|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003793926|UniRef50_R7IWM9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1473,5,0.0.0.0,3.3944331296673456
gi|483984615|ref|NZ_KB892649.1|:294967-296247|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035E0AB2|UniRef50_R7JX89,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1281,1,0.0.0.0,0.7806401249024201
gi|483985125|ref|NZ_KB892702.1|:26260-27543|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003792746|UniRef50_R6VIX9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1284,7,0.0.0.0,5.451713395638629
gi|483984738|ref|NZ_KB892663.1|:c19314-18046|33035|g__Blautia.s__Blautia_producta|UniRef90_R5QVI6|UniRef50_O67078,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1269,1,4.2.1.33,0.7880220646178093
gi|483984626|ref|NZ_KB892651.1|:41570-42844|33035|g__Blautia.s__Blautia_producta|UniRef90_R6VQA5|UniRef50_Q9L385,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1275,7,2.7.7.27,5.490196078431373
gi|483985136|ref|NZ_KB892703.1|:c109812-108517|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037BBFF1|UniRef50_R6KRI5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1296,1,0.0.0.0,0.7716049382716049
gi|483984727|ref|NZ_KB892662.1|:6080-7375|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037893AA|UniRef50_Q7WK82,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1296,1,0.0.0.0,0.7716049382716049
gi|483984756|ref|NZ_KB892665.1|:1-1245|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003729572|UniRef50_W4U809,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1245,4,0.0.0.0,3.2128514056224895
gi|483985143|ref|NZ_KB892704.1|:c102891-101647|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036FD4F9|UniRef50_UPI00036FD4F9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1245,5,0.0.0.0,4.016064257028112
gi|483984529|ref|NZ_KB892638.1|:154354-155598|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036F26B5|UniRef50_A9KRE9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1245,1,0.0.0.0,0.8032128514056224
gi|483984668|ref|NZ_KB892655.1|:48798-50039|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003655FC6|UniRef50_R5ECL3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1242,6,0.0.0.0,4.830917874396135
gi|483984922|ref|NZ_KB892682.1|:181809-183041|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000378FBB4|UniRef50_R6NLP4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1233,6,0.0.0.0,4.8661800486618
gi|483984529|ref|NZ_KB892638.1|:11858-13117|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036FDE5C|UniRef50_C8W984,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1260,4,0.0.0.0,3.1746031746031744
gi|483984922|ref|NZ_KB892682.1|:115669-116928|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_Q8A1G8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1260,3,2.7.2.1,2.380952380952381
gi|483985043|ref|NZ_KB892693.1|:252518-253774|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000370202F|UniRef50_UPI000370202F,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1257,1,0.0.0.0,0.7955449482895784
gi|483984803|ref|NZ_KB892671.1|:c228379-227123|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003664AC1|UniRef50_R5LQD9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1257,10,0.0.0.0,7.9554494828957845
gi|483984660|ref|NZ_KB892654.1|:15224-16492|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003757348|UniRef50_R7N4H0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1269,1,0.0.0.0,0.7880220646178093
gi|483985043|ref|NZ_KB892693.1|:61626-62894|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037AC1F8|UniRef50_R5ZMY9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1269,1,0.0.0.0,0.7880220646178093
gi|483984803|ref|NZ_KB892671.1|:c131807-130545|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035EB363|UniRef50_D4J4M4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1263,23,0.0.0.0,18.210609659540776
gi|483984688|ref|NZ_KB892657.1|:15198-16451|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037D255B|UniRef50_R5R6K3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1254,1,0.0.0.0,0.7974481658692185
gi|483984581|ref|NZ_KB892645.1|:10231-11481|33035|g__Blautia.s__Blautia_producta|UniRef90_R6R2W7|UniRef50_Q5V465,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1251,6,4.3.1.2,4.796163069544365
gi|483984529|ref|NZ_KB892638.1|:c362890-361547|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036EE87E|UniRef50_R5EZ62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1344,1,0.0.0.0,0.744047619047619
gi|483984529|ref|NZ_KB892638.1|:c236590-235247|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037F4CA1|UniRef50_R6VIK5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1344,4,6.3.4.19,2.976190476190476
gi|483985043|ref|NZ_KB892693.1|:67888-69237|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000367C745|UniRef50_R9JT35,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1350,2,0.0.0.0,1.4814814814814814
gi|483984922|ref|NZ_KB892682.1|:205937-207283|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000376E986|UniRef50_C9XLV3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1347,41,0.0.0.0,30.438010393466964
gi|483984581|ref|NZ_KB892645.1|:124402-125760|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003730ABD|UniRef50_A9KLC8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1359,2,0.0.0.0,1.4716703458425313
gi|483984589|ref|NZ_KB892646.1|:c93486-92122|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000367958B|UniRef50_R5I8R4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1365,1,0.0.0.0,0.7326007326007326
gi|483984770|ref|NZ_KB892667.1|:2825-4186|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000360C311|UniRef50_R6EL39,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1362,1,0.0.0.0,0.7342143906020557
gi|483985043|ref|NZ_KB892693.1|:85307-86665|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037604CB|UniRef50_R6RJ13,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1359,6,0.0.0.0,4.415011037527594
gi|483985136|ref|NZ_KB892703.1|:c235898-234546|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037D8D29|UniRef50_R6PBQ0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1353,2,0.0.0.0,1.4781966001478197
gi|483984562|ref|NZ_KB892642.1|:c31737-30385|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00041441B3|UniRef50_R7JU95,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1353,45,0.0.0.0,33.25942350332594
gi|483984517|ref|NZ_KB892637.1|:c490531-489182|33035|g__Blautia.s__Blautia_producta|UniRef90_R6PGC1|UniRef50_Q04IA2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1350,5,5.3.1.9,3.7037037037037033
gi|483984803|ref|NZ_KB892671.1|:c255356-254001|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035DC866|UniRef50_R5RJY9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1356,2,0.0.0.0,1.4749262536873156
gi|483984545|ref|NZ_KB892640.1|:95542-96897|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003692FEA|UniRef50_S6BYQ3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1356,4,0.0.0.0,2.949852507374631
gi|483984615|ref|NZ_KB892649.1|:168550-169863|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037537A4|UniRef50_R6R0B7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1314,1,0.0.0.0,0.76103500761035
gi|483984727|ref|NZ_KB892662.1|:4056-5366|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000363EFDE|UniRef50_C4ZGF3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1311,4,5.2.1.8,3.051106025934401
gi|483985143|ref|NZ_KB892704.1|:c75149-73830|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037585D7|UniRef50_R6WBH0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1320,1,0.0.0.0,0.7575757575757576
gi|483984568|ref|NZ_KB892643.1|:127827-129143|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035E03E5|UniRef50_UPI00035E03E5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1317,5,2.7.13.3,3.7965072133637054
gi|483985043|ref|NZ_KB892693.1|:276779-278095|33035|g__Blautia.s__Blautia_producta|UniRef90_R6V3W2|UniRef50_R7IUU0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1317,4,0.0.0.0,3.0372057706909645
gi|483984562|ref|NZ_KB892642.1|:c83212-81908|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000363CBF5|UniRef50_R7R7I8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1305,20,0.0.0.0,15.325670498084293
gi|483984598|ref|NZ_KB892647.1|:71561-72862|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003739C24|UniRef50_R7JV90,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1302,2,0.0.0.0,1.5360983102918586
gi|483984589|ref|NZ_KB892646.1|:c31157-29850|33035|g__Blautia.s__Blautia_producta|UniRef90_R6VCG2|UniRef50_P40800,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1308,1,0.0.0.0,0.764525993883792
gi|483984803|ref|NZ_KB892671.1|:c249917-248586|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003767BBE|UniRef50_R6VJ61,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1332,11,0.0.0.0,8.258258258258257
gi|483984581|ref|NZ_KB892645.1|:60671-62002|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003A8D043|UniRef50_D4KB12,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1332,1,0.0.0.0,0.7507507507507507
gi|483984581|ref|NZ_KB892645.1|:82935-84269|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035D87B6|UniRef50_I7B1F5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1335,2,0.0.0.0,1.4981273408239701
gi|483984529|ref|NZ_KB892638.1|:c48325-46991|33035|g__Blautia.s__Blautia_producta|UniRef90_R6PEC2|UniRef50_B2RKJ1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1335,1,1.4.1.4,0.7490636704119851
gi|483984517|ref|NZ_KB892637.1|:c454602-453268|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000475609A|UniRef50_R5KA87,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1335,1,0.0.0.0,0.7490636704119851
gi|483984714|ref|NZ_KB892660.1|:c284130-282805|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000376C349|UniRef50_P76085,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1326,1,0.0.0.0,0.7541478129713424
gi|483984803|ref|NZ_KB892671.1|:c214286-212964|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037EA8E4|UniRef50_O34645,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1323,1,0.0.0.0,0.7558578987150416
gi|483985125|ref|NZ_KB892702.1|:59018-60340|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000374EF95|UniRef50_D4N011,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1323,2,0.0.0.0,1.5117157974300832
gi|483984625|ref|NZ_KB892650.1|:c88395-87067|33035|g__Blautia.s__Blautia_producta|UniRef90_B0NI46|UniRef50_E5VUJ1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1329,4,0.0.0.0,3.0097817908201656
gi|483984605|ref|NZ_KB892648.1|:15012-17282|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000368C3A6|UniRef50_UPI000368C3A6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2271,7,2.7.13.3,3.0823425803610744
gi|483984568|ref|NZ_KB892643.1|:c126782-124527|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036F6D82|UniRef50_UPI00036F6D82,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2256,2,0.0.0.0,0.8865248226950355
gi|483984517|ref|NZ_KB892637.1|:c482374-480086|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R5R0T2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2289,1,0.0.0.0,0.436871996505024
gi|483984803|ref|NZ_KB892671.1|:c246657-244366|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003701D56|UniRef50_D5HFR4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2292,2,3.2.1.22,0.8726003490401397
