GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|262409781|ref|NZ_GG705192.1|:689-976|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A5ZLI2|UniRef50_A5ZLI2,unclassified,288,19034,0.0.0.0,66090.27777777778
gi|522837959|ref|NZ_KE159525.1|:49701-50492|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7DFZ4|UniRef50_R7NQ15,unclassified,792,9,0.0.0.0,11.363636363636363
gi|522837953|ref|NZ_KE159519.1|:1237649-1237912|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZU96|UniRef50_K5ZU96,unclassified,264,3,0.0.0.0,11.363636363636363
gi|223667574|ref|NZ_DS264394.1|:4801-5064|88431|g__Dorea.s__Dorea_longicatena|UniRef90_unknown|UniRef50_B0TIG5,root,264,3,0.0.0.0,11.363636363636363
gi|498503065|ref|NZ_KB822571.1|:5651644-5652084|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Z4Z2|UniRef50_W8F3S7,unclassified,441,5,0.0.0.0,11.337868480725623
gi|522837953|ref|NZ_KE159519.1|:c1067571-1067131|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZGJ9|UniRef50_R6S9G4,unclassified,441,5,0.0.0.0,11.337868480725623
gi|522837957|ref|NZ_KE159523.1|:119650-120003|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6X5R3|UniRef50_Q5L9B5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,354,4,0.0.0.0,11.299435028248588
gi|326205068|ref|NZ_GL872354.1|:1-177|552395|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA|UniRef90_E9RZN0|UniRef50_D9ULF3,unclassified,177,2,0.0.0.0,11.299435028248588
gi|522837947|ref|NZ_KE159513.1|:c2041989-2040661|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LA39|UniRef50_Q13RB8,unclassified,1329,15,5.3.1.5,11.286681715575622
gi|498503065|ref|NZ_KB822571.1|:c4875504-4875061|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZWY9|UniRef50_A6LC63,unclassified,444,5,0.0.0.0,11.26126126126126
gi|498503065|ref|NZ_KB822571.1|:1674659-1675813|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5YYL3|UniRef50_R5BA87,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_;g_Mitsuaria;s_Mitsuaria sp. 7,1155,13,0.0.0.0,11.255411255411255
gi|70916029|ref|XM_727281.1||5825|g__Plasmodium.s__Plasmodium_chabaudi|UniRef90_Q4XCT2|UniRef50_Q4XCT2,unclassified,178,2,0.0.0.0,11.235955056179776
gi|224514971|ref|NZ_DS499684.1|:3871-4137|29347|g__Clostridium.s__Clostridium_scindens|UniRef90_B0NER4|UniRef50_B0NX14,root,267,3,0.0.0.0,11.235955056179774
gi|224515023|ref|NZ_DS546999.1|:c165529-165263|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_B0NWR4|UniRef50_B0NX14,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,267,3,0.0.0.0,11.235955056179774
gi|410101285|ref|NZ_JH976471.1|:303467-303733|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z061|UniRef50_K5Z061,unclassified,267,3,0.0.0.0,11.235955056179774
gi|498503065|ref|NZ_KB822571.1|:c833838-833572|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZM1|UniRef50_Q89Z83,unclassified,267,3,0.0.0.0,11.235955056179774
gi|410101285|ref|NZ_JH976471.1|:c156993-155479|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z0U6|UniRef50_R7NN37,unclassified,1515,17,0.0.0.0,11.221122112211221
gi|498503065|ref|NZ_KB822571.1|:3655682-3656305|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZUB5|UniRef50_R6AC71,unclassified,624,7,0.0.0.0,11.217948717948717
gi|68066490|ref|XM_670135.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YJW7|UniRef50_Q4YIR0,unclassified,1161,13,0.0.0.0,11.19724375538329
gi|490137911|ref|NZ_KB822568.1|:c18768-18322|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z5X4|UniRef50_E4Q164,unclassified,447,5,0.0.0.0,11.185682326621924
gi|522837960|ref|NZ_KE159526.1|:54654-55994|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6X4I3|UniRef50_R5VG84,unclassified,1341,15,0.0.0.0,11.185682326621924
gi|256402825|ref|NZ_GG698715.1|:226546-226724|28137|g__Prevotella.s__Prevotella_veroralis|UniRef90_C9MRL3|UniRef50_C9MRL3,unclassified,179,2,0.0.0.0,11.1731843575419
gi|256402825|ref|NZ_GG698715.1|:226546-226724|28137|g__Prevotella.s__Prevotella_veroralis|UniRef90_C9MRL3|UniRef50_C9MRL3,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,179,2,0.0.0.0,11.1731843575419
gi|498503065|ref|NZ_KB822571.1|:c951183-950557|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZU6|UniRef50_K5ZZU6,unclassified,627,7,0.0.0.0,11.164274322169058
gi|256842687|ref|NZ_GG698752.1|:686-865|563193|g__Parabacteroides.s__Parabacteroides_sp_D13|UniRef90_C7XG97|UniRef50_C7XG97,root,180,2,0.0.0.0,11.11111111111111
gi|522837954|ref|NZ_KE159520.1|:899805-899894|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AZ89|UniRef50_N2AZ89,unclassified,90,1,0.0.0.0,11.11111111111111
gi|490134789|ref|NZ_KB822565.1|:c883017-882388|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZCB0|UniRef50_Q4AAE0,unclassified,630,7,0.0.0.0,11.11111111111111
gi|483984922|ref|NZ_KB892682.1|:211769-212398|33035|g__Blautia.s__Blautia_producta|UniRef90_R5BY15|UniRef50_R6SBB4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,630,7,0.0.0.0,11.11111111111111
gi|256842687|ref|NZ_GG698752.1|:686-865|563193|g__Parabacteroides.s__Parabacteroides_sp_D13|UniRef90_C7XG97|UniRef50_C7XG97,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptococcaceae;g_Dehalobacter,180,2,0.0.0.0,11.11111111111111
gi|522837954|ref|NZ_KE159520.1|:86712-86981|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5DDG8|UniRef50_Q11U60,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,270,3,0.0.0.0,11.11111111111111
gi|410105720|ref|NZ_JH976502.1|:c549279-549190|658661|g__Parabacteroides.s__Parabacteroides_sp_D25|UniRef90_unknown|UniRef50_Q7MV43,root,90,1,0.0.0.0,11.11111111111111
gi|522837947|ref|NZ_KE159513.1|:462145-462324|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B1C2|UniRef50_N2B1C2,unclassified,180,2,0.0.0.0,11.11111111111111
gi|490136654|ref|NZ_KB822566.1|:165175-165534|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZJL6|UniRef50_P0A4H6,unclassified,360,4,0.0.0.0,11.11111111111111
gi|490134789|ref|NZ_KB822565.1|:c1043476-1040951|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZK91|UniRef50_R5BW02,unclassified,2526,28,0.0.0.0,11.084718923198734
gi|510931923|ref|NZ_ASWI01000005.1|:1-361|44008|g__Enterococcus.s__Enterococcus_cecorum|UniRef90_A0A024PJX1|UniRef50_R9J2S6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,361,4,0.0.0.0,11.0803324099723
gi|510931923|ref|NZ_ASWI01000005.1|:1-361|44008|g__Enterococcus.s__Enterococcus_cecorum|UniRef90_A0A024PJX1|UniRef50_R9J2S6,unclassified,361,4,0.0.0.0,11.0803324099723
gi|522837953|ref|NZ_KE159519.1|:c1390225-1388960|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6X0H1|UniRef50_F4KKY8,unclassified,1266,14,0.0.0.0,11.058451816745656
gi|498503065|ref|NZ_KB822571.1|:c3741092-3740460|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZGR5|UniRef50_Q64RF9,unclassified,633,7,0.0.0.0,11.058451816745656
gi|498503065|ref|NZ_KB822571.1|:3843017-3843559|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AGE2|UniRef50_R6RQV0,unclassified,543,6,0.0.0.0,11.049723756906076
gi|490137911|ref|NZ_KB822568.1|:c34960-34418|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZB34|UniRef50_R5ABG8,unclassified,543,6,0.0.0.0,11.049723756906076
gi|483984678|ref|NZ_KB892656.1|:c31055-30603|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003667271|UniRef50_C5VQH0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,453,5,0.0.0.0,11.037527593818984
gi|490137911|ref|NZ_KB822568.1|:c5685-3055|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_unknown|UniRef50_P22983,unclassified,2631,29,2.7.9.1,11.022424933485368
gi|498503065|ref|NZ_KB822571.1|:3651478-3653475|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_H0UKG1,unclassified,1998,22,4.2.1.49,11.01101101101101
gi|498503065|ref|NZ_KB822571.1|:5915360-5916358|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_B2UQ72,unclassified,999,11,0.0.0.0,11.01101101101101
gi|421452814|ref|NZ_ALIF01000006.1|:436729-437001|1304|g__Streptococcus.s__Streptococcus_salivarius|UniRef90_A4VYJ1|UniRef50_A4VYJ1,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,273,3,0.0.0.0,10.989010989010989
gi|410101287|ref|NZ_JH976473.1|:605226-605498|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUC5|UniRef50_G3F9E3,unclassified,273,3,0.0.0.0,10.989010989010989
gi|67975422|ref|XM_663816.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YIL0|UniRef50_Q4YJ79,unclassified,182,2,0.0.0.0,10.989010989010989
gi|68062187|ref|XM_668005.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YF58|UniRef50_Q4YF58,unclassified,91,1,0.0.0.0,10.989010989010989
gi|410101291|ref|NZ_JH976477.1|:32963-33964|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LC65|UniRef50_R7KL80,unclassified,1002,11,0.0.0.0,10.978043912175648
gi|490134789|ref|NZ_KB822565.1|:473511-476244|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZHM2|UniRef50_N1ZHM2,unclassified,2734,30,0.0.0.0,10.972933430870519
gi|498503065|ref|NZ_KB822571.1|:c549837-549199|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y7W1|UniRef50_A6LCZ9,unclassified,639,7,0.0.0.0,10.954616588419405
gi|498503065|ref|NZ_KB822571.1|:6703329-6703967|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZ67|UniRef50_R5DRE4,unclassified,639,7,0.0.0.0,10.954616588419405
gi|498503065|ref|NZ_KB822571.1|:c16238-15690|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LCP4|UniRef50_A6L3Y9,unclassified,549,6,0.0.0.0,10.92896174863388
gi|490137351|ref|NZ_KB822567.1|:c62858-62493|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZHX2|UniRef50_R5EDU4,unclassified,366,4,0.0.0.0,10.92896174863388
gi|298374875|ref|NZ_GG774760.1|:c56773-54941|469592|g__Bacteroides.s__Bacteroides_sp_3_1_19|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,1833,20,0.0.0.0,10.911074740861975
gi|483984541|ref|NZ_KB892639.1|:c41261-40620|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037858AB|UniRef50_R7R7T3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,642,7,0.0.0.0,10.903426791277258
gi|498503065|ref|NZ_KB822571.1|:c6521461-6520820|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6ALU9|UniRef50_R6Z2N6,unclassified,642,7,0.0.0.0,10.903426791277258
gi|490138457|ref|NZ_KB822569.1|:c111683-110121|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZB99|UniRef50_N1ZB99,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium,1563,17,0.0.0.0,10.876519513755598
gi|498503065|ref|NZ_KB822571.1|:c6336744-6334627|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_R5C2M3,unclassified,2118,23,0.0.0.0,10.859301227573184
gi|522837953|ref|NZ_KE159519.1|:c1079029-1078292|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6AGE6|UniRef50_K6AGE6,unclassified,738,8,0.0.0.0,10.840108401084011
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,462,5,0.0.0.0,10.822510822510822
gi|498503065|ref|NZ_KB822571.1|:c572726-570870|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y7V3|UniRef50_Q8A1G0,unclassified,1857,20,0.0.0.0,10.770059235325794
gi|490138457|ref|NZ_KB822569.1|:c5712-5155|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZEG5|UniRef50_N1ZEG5,unclassified,558,6,0.0.0.0,10.75268817204301
gi|223667698|ref|NZ_DS264518.1|:293361-293732|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AC87|UniRef50_A7AC87,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,372,4,0.0.0.0,10.75268817204301
gi|555546126|ref|NZ_KI530573.1|:c349147-348962|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2Q207|UniRef50_D3PAN7,unclassified,186,2,0.0.0.0,10.75268817204301
gi|498503065|ref|NZ_KB822571.1|:3094329-3095537|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_A6L2J0,unclassified,1209,13,2.6.1.13,10.75268817204301
gi|490727257|ref|NZ_APME01000126.1|:c186-1|176102|g__Pseudoalteromonas.s__Pseudoalteromonas_agarivorans|UniRef90_N6UWY5|UniRef50_N6UWY5,unclassified,186,2,0.0.0.0,10.75268817204301
gi|410101287|ref|NZ_JH976473.1|:747659-747844|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZS72|UniRef50_K5ZS72,unclassified,186,2,0.0.0.0,10.75268817204301
gi|484034198|ref|NZ_ANGA01000110.1|:87-179|1209364|g__Bacillus.s__Bacillus_sp_WBUNB004|UniRef90_unknown|UniRef50_D5GZ90,unclassified,93,1,0.0.0.0,10.75268817204301
gi|211596893|ref|NZ_DS264347.1|:80135-80413|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRI2|UniRef50_S5CLP4,unclassified,279,3,0.0.0.0,10.75268817204301
gi|498503065|ref|NZ_KB822571.1|:5652088-5652645|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6A4N7|UniRef50_A6L9R8,unclassified,558,6,3.5.1.88,10.75268817204301
gi|522837955|ref|NZ_KE159521.1|:156579-157229|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z1G9|UniRef50_R6KTV4,unclassified,651,7,0.0.0.0,10.75268817204301
gi|265768566|ref|NZ_GG705218.1|:c2532-2254|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_E4W3C3|UniRef50_D1JX84,root,279,3,0.0.0.0,10.75268817204301
gi|498503065|ref|NZ_KB822571.1|:c1057830-1056529|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AMZ7|UniRef50_R7EVE7,unclassified,1302,14,0.0.0.0,10.75268817204301
gi|498503065|ref|NZ_KB822571.1|:822076-822633|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6A008|UniRef50_A6LE65,unclassified,558,6,0.0.0.0,10.75268817204301
gi|522837953|ref|NZ_KE159519.1|:c1260342-1258852|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LI32|UniRef50_R7J0F3,unclassified,1491,16,4.3.1.3,10.731052984574111
gi|410101287|ref|NZ_JH976473.1|:c128094-126976|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6AHD3|UniRef50_G8UML6,unclassified,1119,12,0.0.0.0,10.723860589812332
gi|410101286|ref|NZ_JH976472.1|:431914-432849|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZLD1|UniRef50_A6LDL3,unclassified,936,10,0.0.0.0,10.683760683760683
gi|410101287|ref|NZ_JH976473.1|:c1105112-1104645|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R7JQI6|UniRef50_D5EYS1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,468,5,0.0.0.0,10.683760683760683
gi|483984803|ref|NZ_KB892671.1|:c41330-40956|33035|g__Blautia.s__Blautia_producta|UniRef90_D7GSL9|UniRef50_Q73JJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,375,4,0.0.0.0,10.666666666666666
gi|410101287|ref|NZ_JH976473.1|:746122-747060|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZER9|UniRef50_R5DMK3,unclassified,939,10,0.0.0.0,10.649627263045794
gi|490134789|ref|NZ_KB822565.1|:456952-459957|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZHK7|UniRef50_N1ZHK7,unclassified,3006,32,0.0.0.0,10.645375914836993
gi|498503065|ref|NZ_KB822571.1|:3628076-3630424|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_unknown|UniRef50_unknown,unclassified,2349,25,5.99.1.2,10.642826734780757
gi|153883178|ref|NZ_ABDQ01000010.1|:c97412-97131|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1BC32|UniRef50_B1BC32,root;k_Bacteria,282,3,0.0.0.0,10.638297872340427
gi|522837954|ref|NZ_KE159520.1|:c67246-66776|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WUS9|UniRef50_R5PJL9,unclassified,471,5,0.0.0.0,10.615711252653929
gi|490137351|ref|NZ_KB822567.1|:c34848-34378|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_R6QBF9|UniRef50_A5F3J8,root;k_Bacteria,471,5,0.0.0.0,10.615711252653929
gi|490134789|ref|NZ_KB822565.1|:c879787-879128|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZFL5|UniRef50_Q3B6F6,unclassified,660,7,0.0.0.0,10.606060606060606
gi|498503065|ref|NZ_KB822571.1|:2520139-2520798|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZRR7|UniRef50_E6SSZ0,unclassified,660,7,0.0.0.0,10.606060606060606
gi|498503065|ref|NZ_KB822571.1|:3054393-3055148|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LFF0|UniRef50_A6KXL2,unclassified,756,8,5.3.1.1,10.582010582010582
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root,189,2,0.0.0.0,10.582010582010582
gi|306837212|ref|NZ_GL397172.1|:213-401|38284|g__Corynebacterium.s__Corynebacterium_accolens|UniRef90_E0MU53|UniRef50_E0MU53,unclassified,189,2,0.0.0.0,10.582010582010582
gi|498503065|ref|NZ_KB822571.1|:2779062-2780669|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_Q5L7N5|UniRef50_Q8D1X9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,1608,17,4.1.1.49,10.572139303482587
gi|490136654|ref|NZ_KB822566.1|:676958-678379|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z914|UniRef50_R6ZX89,unclassified,1422,15,0.0.0.0,10.548523206751055
gi|498503065|ref|NZ_KB822571.1|:c6807258-6805930|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LA39|UniRef50_Q13RB8,unclassified,1329,14,5.3.1.5,10.534236267870579
gi|224515034|ref|NZ_DS547007.1|:27-311|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_B0NX14|UniRef50_B0NX14,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,285,3,0.0.0.0,10.526315789473685
gi|225001177|ref|NZ_DS990168.1|:c3468-3184|46228|g__Ruminococcus.s__Ruminococcus_lactaris|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,285,3,0.0.0.0,10.526315789473685
gi|153883900|ref|NZ_ABDY01000038.1|:11127-11411|1502|g__Clostridium.s__Clostridium_perfringens|UniRef90_B1RTS4|UniRef50_B1BC33,root,285,3,0.0.0.0,10.526315789473685
gi|153883900|ref|NZ_ABDY01000038.1|:11127-11411|1502|g__Clostridium.s__Clostridium_perfringens|UniRef90_B1RTS4|UniRef50_B1BC33,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,285,3,0.0.0.0,10.526315789473685
gi|410101288|ref|NZ_JH976474.1|:c46202-45537|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZL03|UniRef50_P09213,unclassified,666,7,1.15.1.1,10.51051051051051
gi|498503065|ref|NZ_KB822571.1|:c538682-538017|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2BGZ1|UniRef50_N2BGZ1,unclassified,666,7,0.0.0.0,10.51051051051051
gi|498503065|ref|NZ_KB822571.1|:1093873-1094253|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6A0P1|UniRef50_G8UKR5,unclassified,381,4,0.0.0.0,10.498687664041995
gi|498503065|ref|NZ_KB822571.1|:4745201-4745581|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5YVL2|UniRef50_F4KMA5,unclassified,381,4,0.0.0.0,10.498687664041995
gi|410101285|ref|NZ_JH976471.1|:c62275-61799|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6LEJ4|UniRef50_B6YQ88,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,477,5,0.0.0.0,10.482180293501049
gi|485457650|ref|NZ_AFTH01000242.1|:15219-15982|317|g__Pseudomonas.s__Pseudomonas_syringae|UniRef90_UPI00037A3C1D|UniRef50_S6I7F5,unclassified,764,8,0.0.0.0,10.471204188481675
gi|483984714|ref|NZ_KB892660.1|:c65124-64645|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037EBA5E|UniRef50_D4LHV3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,480,5,0.0.0.0,10.416666666666668
gi|410101287|ref|NZ_JH976473.1|:c678555-677980|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZS20|UniRef50_D4IPD8,unclassified,576,6,0.0.0.0,10.416666666666668
gi|224515028|ref|NZ_DS547001.1|:c536-345|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_A5KRI2|UniRef50_S5CLP4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,192,2,0.0.0.0,10.416666666666666
gi|522837953|ref|NZ_KE159519.1|:1528497-1528880|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZQQ5|UniRef50_G8UMM4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,384,4,0.0.0.0,10.416666666666666
gi|498503065|ref|NZ_KB822571.1|:4144939-4145130|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZHI2|UniRef50_R5DN27,unclassified,192,2,0.0.0.0,10.416666666666666
gi|522837956|ref|NZ_KE159522.1|:331239-331334|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJ31|UniRef50_S0GJ31,unclassified,96,1,0.0.0.0,10.416666666666666
gi|522837947|ref|NZ_KE159513.1|:c1666730-1665384|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6IAK7|UniRef50_X2HBM4,unclassified,1347,14,0.0.0.0,10.393466963622865
gi|498503065|ref|NZ_KB822571.1|:3654389-3655639|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZTS6|UniRef50_B2RLA8,unclassified,1251,13,3.5.2.7,10.391686650679457
gi|498503065|ref|NZ_KB822571.1|:3838755-3839813|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2AW14|UniRef50_N2AW14,unclassified,1059,11,0.0.0.0,10.387157695939566
gi|498503065|ref|NZ_KB822571.1|:6518819-6519781|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZD2|UniRef50_R6DB06,unclassified,963,10,0.0.0.0,10.384215991692628
gi|410101293|ref|NZ_JH976479.1|:c20743-20261|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZRS8|UniRef50_A6L881,unclassified,483,5,1.16.3.2,10.351966873706004
