GeneID,Taxonomy,Length,Reads,EC#
gi|422320815|ref|NZ_GL636045.1|:c59016-58090|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_E3HPD5|UniRef50_A7K0S1,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio vulgaris,927,1,0.0.0.0
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria,231,2,0.0.0.0
gi|211596924|ref|NZ_DS264378.1|:c6613-6362|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,252,101,0.0.0.0
gi|211596924|ref|NZ_DS264378.1|:c6613-6362|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_B5CLP5|UniRef50_H6R3P8,root,252,22,0.0.0.0
gi|211596924|ref|NZ_DS264378.1|:c6613-6362|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria,252,1,0.0.0.0
gi|211596898|ref|NZ_DS264352.1|:c7549-7361|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A7B6K2|UniRef50_A7B5W5,root,189,1,0.0.0.0
gi|211596891|ref|NZ_DS264345.1|:706980-707759|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KP23|UniRef50_A5KL04,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,780,1,0.0.0.0
gi|211596891|ref|NZ_DS264345.1|:706980-707759|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KP23|UniRef50_A5KL04,root;k_Bacteria,780,19,0.0.0.0
gi|211596891|ref|NZ_DS264345.1|:706980-707759|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KP23|UniRef50_A5KL04,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,780,3,0.0.0.0
gi|211596891|ref|NZ_DS264345.1|:706980-707759|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KP23|UniRef50_A5KL04,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,780,1,0.0.0.0
gi|211596891|ref|NZ_DS264345.1|:706980-707759|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KP23|UniRef50_A5KL04,root,780,1,0.0.0.0
gi|211596893|ref|NZ_DS264347.1|:81254-81484|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR94|UniRef50_D6SFJ7,root;k_Bacteria,231,2,0.0.0.0
gi|211596893|ref|NZ_DS264347.1|:81254-81484|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR94|UniRef50_D6SFJ7,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,231,15,0.0.0.0
gi|211596893|ref|NZ_DS264347.1|:81254-81484|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR94|UniRef50_D6SFJ7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_;s_uncultured Lachnospiraceae bacterium,231,1,0.0.0.0
gi|211596893|ref|NZ_DS264347.1|:81254-81484|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR94|UniRef50_D6SFJ7,root,231,7,0.0.0.0
gi|211596896|ref|NZ_DS264350.1|:1-160|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR91|UniRef50_A5KR91,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes hadrus,160,1,0.0.0.0
gi|211596896|ref|NZ_DS264350.1|:1-160|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR91|UniRef50_A5KR91,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,160,1697,0.0.0.0
gi|211596896|ref|NZ_DS264350.1|:1-160|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR91|UniRef50_A5KR91,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,160,3,0.0.0.0
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,249,107,0.0.0.0
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,249,1,0.0.0.0
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria,249,4,0.0.0.0
gi|211596897|ref|NZ_DS264351.1|:4619-4860|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRL0|UniRef50_A5KRL0,root;k_Bacteria,242,6,0.0.0.0
gi|211596897|ref|NZ_DS264351.1|:4619-4860|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRL0|UniRef50_A5KRL0,root,242,14,0.0.0.0
gi|211596893|ref|NZ_DS264347.1|:80135-80413|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRI2|UniRef50_S5CLP4,root;k_Bacteria,279,47,0.0.0.0
gi|211596893|ref|NZ_DS264347.1|:80135-80413|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRI2|UniRef50_S5CLP4,root,279,10,0.0.0.0
gi|27375111|ref|NC_004463.1|:8601469-8602230|1355477|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens|UniRef90_A0A023XWJ3|UniRef50_A7IPD8,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,762,1,0.0.0.0
gi|27375111|ref|NC_004463.1|:c3036597-3035890|1355477|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens|UniRef90_A0A023XJ15|UniRef50_Q1QFN1,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,708,1,0.0.0.0
gi|27375111|ref|NC_004463.1|:7760321-7760740|1355477|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens|UniRef90_Q89EM9|UniRef50_Q89EM9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,420,1,1.8.4.12
gi|27375111|ref|NC_004463.1|:c3590185-3587492|1355477|g__Bradyrhizobium.s__Bradyrhizobium_diazoefficiens|UniRef90_unknown|UniRef50_Q89Q81,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium japonicum,2694,1,2.7.13.3
gi|484060247|ref|NZ_AJJK01001701.1|:1678-3258|29448|g__Bradyrhizobium.s__Bradyrhizobium_elkanii|UniRef90_U1H3B1|UniRef50_E6VGT6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium ottawaense,1581,1,0.0.0.0
gi|484056959|ref|NZ_AJJK01000894.1|:c7620-6643|29448|g__Bradyrhizobium.s__Bradyrhizobium_elkanii|UniRef90_U1IKE0|UniRef50_B0UCB7,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium ottawaense,978,2,0.0.0.0
gi|484058089|ref|NZ_AJJK01001178.1|:10285-11292|29448|g__Bradyrhizobium.s__Bradyrhizobium_elkanii|UniRef90_A5ENQ3|UniRef50_Q39HX7,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium icense,1008,1,0.0.0.0
gi|482996294|ref|NZ_KB900701.1|:c4253909-4252683|29448|g__Bradyrhizobium.s__Bradyrhizobium_elkanii|UniRef90_U1H3F0|UniRef50_H6RLK2,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium canariense,1227,1,0.0.0.0
gi|483997946|ref|NZ_KB893862.1|:22406-23176|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_G7DPK8|UniRef50_D5VE70,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,771,1,0.0.0.0
gi|384213726|ref|NC_017249.1|:4863192-4863539|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_Q89KK6|UniRef50_Q89KK6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,348,2,0.0.0.0
gi|483997292|ref|NZ_KB893806.1|:777121-778401|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_G7D7S2|UniRef50_I4AP74,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,1281,1,0.0.0.0
gi|384213726|ref|NC_017249.1|:6907280-6908515|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_G7D2Y1|UniRef50_R6V5M5,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,1236,2,0.0.0.0
gi|483997679|ref|NZ_KB893838.1|:85402-87477|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_G7D9N8|UniRef50_B1M893,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,2076,1,2.7.13.3
gi|483317393|ref|NZ_KB902809.1|:37446-40025|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_unknown|UniRef50_Q3STJ1,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris,2580,1,2.7.13.3
gi|483998179|ref|NZ_KB893884.1|:c297508-295928|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_A0A023XIR3|UniRef50_A0A023XIR3,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Afipia;s_Afipia sp. GAS231,1581,1,3.4.21.107
gi|483997707|ref|NZ_KB893840.1|:c302839-301946|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_Q89VQ4|UniRef50_Q89VQ4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,894,1,0.0.0.0
gi|384213726|ref|NC_017249.1|:c4148113-4147019|375|g__Bradyrhizobium.s__Bradyrhizobium_japonicum|UniRef90_G7DRF1|UniRef50_G7DRF1,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium japonicum,1095,1,0.0.0.0
gi|148251626|ref|NC_009485.1|:7813075-7815057|288000|g__Bradyrhizobium.s__Bradyrhizobium_sp_BTAi1|UniRef90_unknown|UniRef50_B0T8P0,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. BTAi1,1983,1,0.0.0.0
gi|421598702|ref|NZ_AMCQ01000699.1|:c2547-1270|1223566|g__Bradyrhizobium.s__Bradyrhizobium_sp_CCGE_LA001|UniRef90_W1JW59|UniRef50_W1JW59,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp.,1278,1,4.2.1.9
gi|365890965|ref|NZ_CAFJ01000507.1|:c22703-22215|551936|g__Bradyrhizobium.s__Bradyrhizobium_sp|UniRef90_Q89KJ6|UniRef50_Q73GH4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae,489,1,1.6.5.11
gi|544643328|ref|NZ_KE747855.1|:c122542-121253|1230476|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1|UniRef90_U1GZT3|UniRef50_F8GUD2,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. ORS 278,1290,1,0.0.0.0
gi|544646705|ref|NZ_KE747886.1|:c8373-6703|1230476|g__Bradyrhizobium.s__Bradyrhizobium_sp_DFCI_1|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp.,1671,1,0.0.0.0
gi|365879235|ref|NZ_CAFI01000049.1|:47131-47436|566679|g__Bradyrhizobium.s__Bradyrhizobium_sp_ORS_375|UniRef90_H0SAL5|UniRef50_H0T6D0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,306,1,0.0.0.0
gi|383768277|ref|NC_017082.1|:7025797-7027875|335659|g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321|UniRef90_unknown|UniRef50_Q1QH84,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,2079,1,2.7.13.3
gi|383768277|ref|NC_017082.1|:49781-51391|335659|g__Bradyrhizobium.s__Bradyrhizobium_sp_S23321|UniRef90_A5E864|UniRef50_Q0C5Z7,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,1611,1,0.0.0.0
gi|365900475|ref|NZ_CAFK01000303.1|:53434-54195|551947|g__Bradyrhizobium.s__Bradyrhizobium_sp_STM_3843|UniRef90_H0TWU4|UniRef50_Q89LR9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Oligotropha;s_Oligotropha carboxidovorans,762,1,0.0.0.0
gi|386395005|ref|NZ_JH600073.1|:8237251-8238174|319003|g__Bradyrhizobium.s__Bradyrhizobium_sp_WSM1253|UniRef90_Q89KP4|UniRef50_Q2W4C4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,924,1,0.0.0.0
gi|398820152|ref|NZ_AKIY01000033.1|:c5717-5298|1144344|g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681|UniRef90_Q89EM9|UniRef50_Q89EM9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium japonicum,420,1,1.8.4.12
gi|398823105|ref|NZ_AKIY01000201.1|:13897-14790|1144344|g__Bradyrhizobium.s__Bradyrhizobium_sp_YR681|UniRef90_Q89VQ4|UniRef50_Q89VQ4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,894,1,0.0.0.0
gi|189351978|ref|NC_010805.1|:2150265-2150456|87883|g__Burkholderia.s__Burkholderia_multivorans|UniRef90_B3D9S9|UniRef50_R9VEF8,root;k_Bacteria,192,1,0.0.0.0
gi|387900762|ref|NC_017920.1|:219444-220862|416344|g__Burkholderia.s__Burkholderia_sp_KJ006|UniRef90_A3MQW7|UniRef50_A3PW97,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Burkholderia;s_Burkholderia multivorans,1419,1,3.3.1.1
gi|226597586|ref|NZ_GG663520.1|:c11078-10659|45851|g__Butyrivibrio.s__Butyrivibrio_crossotus|UniRef90_C4Z2R6|UniRef50_B2S684,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,420,1,0.0.0.0
gi|335041354|ref|NZ_AFCE01000195.1|:c774-263|296745|g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum|UniRef90_F5LB49|UniRef50_F5LB49,root;k_Bacteria,512,1,0.0.0.0
gi|335041404|ref|NZ_AFCE01000217.1|:714-1043|296745|g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum|UniRef90_F5LB77|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,330,3,0.0.0.0
gi|335041404|ref|NZ_AFCE01000217.1|:714-1043|296745|g__Caldalkalibacillus.s__Caldalkalibacillus_thermarum|UniRef90_F5LB77|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes,330,1,0.0.0.0
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus,333,427,0.0.0.0
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,333,11,0.0.0.0
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,root;k_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Spirochaetales;f_Spirochaetaceae;g_Treponema;s_Treponema brennaborense,333,1,0.0.0.0
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,333,1,0.0.0.0
gi|295687459|ref|NC_014100.1|:1213792-1215252|88688|g__Caulobacter.s__Caulobacter_segnis|UniRef90_Q9A595|UniRef50_Q9A595,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter vibrioides,1461,1,6.3.2.13
gi|295687459|ref|NC_014100.1|:520749-522272|88688|g__Caulobacter.s__Caulobacter_segnis|UniRef90_D5VHM3|UniRef50_B4RFF4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter segnis,1524,2,0.0.0.0
gi|295687459|ref|NC_014100.1|:673353-675686|88688|g__Caulobacter.s__Caulobacter_segnis|UniRef90_unknown|UniRef50_V7ZGC1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Stenotrophomonas acidaminiphila,2334,1,0.0.0.0
gi|399087852|ref|NZ_AKKF01000239.1|:24864-27959|1144304|g__Caulobacter.s__Caulobacter_sp_AP07|UniRef90_unknown|UniRef50_U3H375,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter vibrioides,3096,1,0.0.0.0
gi|167643973|ref|NC_010338.1|:c3056348-3055932|366602|g__Caulobacter.s__Caulobacter_sp_K31|UniRef90_B8GWT4|UniRef50_M4S1P9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter sp. K31,417,1,0.0.0.0
gi|167643973|ref|NC_010338.1|:c400608-398818|366602|g__Caulobacter.s__Caulobacter_sp_K31|UniRef90_B0T5D5|UniRef50_D5VHD0,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter henricii,1791,2,0.0.0.0
gi|167643973|ref|NC_010338.1|:c4268696-4266675|366602|g__Caulobacter.s__Caulobacter_sp_K31|UniRef90_unknown|UniRef50_D5VI78,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter segnis,2022,1,0.0.0.0
gi|221232939|ref|NC_011916.1|:2316227-2316895|155892|g__Caulobacter.s__Caulobacter_vibrioides|UniRef90_B8GXD6|UniRef50_B0T4S3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas hydrophila,669,2,0.0.0.0
gi|221232939|ref|NC_011916.1|:c944646-943210|155892|g__Caulobacter.s__Caulobacter_vibrioides|UniRef90_B8H1Z1|UniRef50_B8H1Z1,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter segnis,1437,1,0.0.0.0
gi|221232939|ref|NC_011916.1|:3983868-3986345|155892|g__Caulobacter.s__Caulobacter_vibrioides|UniRef90_Q9A262|UniRef50_Q9A262,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter segnis,2478,2,0.0.0.0
gi|221232939|ref|NC_011916.1|:c3692168-3690375|155892|g__Caulobacter.s__Caulobacter_vibrioides|UniRef90_Q9A2Y6|UniRef50_Q9A2Y6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter henricii,1794,1,0.0.0.0
gi|326789139|ref|NC_015275.1|:693308-694807|29360|g__Cellulosilyticum.s__Cellulosilyticum_lentocellum|UniRef90_F2JM80|UniRef50_Q59219,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1500,1,3.2.1.55
gi|192358779|ref|NC_010995.1|:3994013-3995923|155077|g__Cellvibrio.s__Cellvibrio_japonicus|UniRef90_B3PF22|UniRef50_Q3BRW8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Cellvibrionales;f_Microbulbiferaceae;g_Microbulbifer;s_Microbulbifer aggregans,1911,1,2.2.1.7
gi|334129183|ref|NZ_GL892076.1|:2677674-2677853|82203|g__Centipeda.s__Centipeda_periodontii|UniRef90_F5RQN3|UniRef50_D6SA04,root,180,1,0.0.0.0
gi|283783779|ref|NC_013716.1|:5235694-5236560|67825|g__Citrobacter.s__Citrobacter_rodentium|UniRef90_P0CF79|UniRef50_P0CF79,root;k_Bacteria,867,1,0.0.0.0
gi|223956450|ref|NZ_DS996923.1|:c160578-158548|384638|g__Clostridiales_noname.s__Bacteroides_pectinophilus|UniRef90_unknown|UniRef50_R6CPB8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2031,1,6.1.1.10
gi|223955954|ref|NZ_DS990260.1|:442945-443118|457421|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA|UniRef90_C5EJF5|UniRef50_C5EJF5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,174,109,0.0.0.0
gi|223955959|ref|NZ_DS990265.1|:8954-9223|457421|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA|UniRef90_C5EW81|UniRef50_C5EW81,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,270,108,0.0.0.0
gi|223955957|ref|NZ_DS990263.1|:244659-246167|457421|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA|UniRef90_R5QVZ8|UniRef50_Q73KK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1509,1,3.6.3.17
gi|224486039|ref|NZ_GG657587.1|:c667882-665810|333367|g__Clostridium.s__Clostridium_asparagiforme|UniRef90_unknown|UniRef50_R5IVQ8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2073,1,2.4.1.18
gi|224514716|ref|NZ_DS480674.1|:c56681-55341|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_R7PLR4|UniRef50_R7R7I8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1341,1,0.0.0.0
gi|488641608|ref|NZ_KB851182.1|:980296-981636|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_R7PLR4|UniRef50_R7R7I8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1341,1,0.0.0.0
gi|488629412|ref|NZ_KB851169.1|:c79-1|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_R0CI69|UniRef50_R0CI69,root,79,10,0.0.0.0
gi|224514740|ref|NZ_DS480694.1|:456015-456176|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_F7V2A7|UniRef50_S6C3I4,root,162,17,0.0.0.0
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,264,10,0.0.0.0
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,root,264,7,0.0.0.0
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,root;k_Bacteria,264,5,0.0.0.0
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,264,1,0.0.0.0
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,264,1,0.0.0.0
