GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|505484991|ref|NZ_BANP01000021.1|:43192-44874|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_B9MBD2|UniRef50_Q7W0K0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Hydrogenophaga,1683,1,6.1.1.19,0.5941770647653001
gi|483984581|ref|NZ_KB892645.1|:18510-19802|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037DE28E|UniRef50_R5TYU9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1293,1,1.1.1.3,0.7733952049497294
gi|483984714|ref|NZ_KB892660.1|:c256723-255431|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000366FFCE|UniRef50_R5HST3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1293,2,0.0.0.0,1.5467904098994587
gi|483984714|ref|NZ_KB892660.1|:c60023-58788|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00038228FB|UniRef50_UPI00038228FB,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1236,12,2.10.1.1,9.70873786407767
gi|483984756|ref|NZ_KB892665.1|:1-1245|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003729572|UniRef50_W4U809,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1245,3,0.0.0.0,2.4096385542168672
gi|483984668|ref|NZ_KB892655.1|:48798-50039|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003655FC6|UniRef50_R5ECL3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1242,5,0.0.0.0,4.025764895330113
gi|483984529|ref|NZ_KB892638.1|:274434-275663|33035|g__Blautia.s__Blautia_producta|UniRef90_R5REJ3|UniRef50_B1IK08,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1230,1,6.3.4.5,0.8130081300813008
gi|483984922|ref|NZ_KB892682.1|:181809-183041|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000378FBB4|UniRef50_R6NLP4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1233,3,0.0.0.0,2.4330900243309
gi|483984803|ref|NZ_KB892671.1|:c228379-227123|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003664AC1|UniRef50_R5LQD9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1257,2,0.0.0.0,1.591089896579157
gi|483984568|ref|NZ_KB892643.1|:c148367-147108|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036A7B0D|UniRef50_UPI00036A7B0D,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1260,1,0.0.0.0,0.7936507936507936
gi|483984581|ref|NZ_KB892645.1|:10231-11481|33035|g__Blautia.s__Blautia_producta|UniRef90_R6R2W7|UniRef50_Q5V465,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1251,1,4.3.1.2,0.7993605115907275
gi|483984517|ref|NZ_KB892637.1|:c34399-33056|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037933FF|UniRef50_R6WBT7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1344,1,0.0.0.0,0.744047619047619
gi|483984756|ref|NZ_KB892665.1|:2616-3965|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037564C6|UniRef50_R6H3B5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1350,1,0.0.0.0,0.7407407407407407
gi|483984922|ref|NZ_KB892682.1|:205937-207283|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000376E986|UniRef50_C9XLV3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1347,22,0.0.0.0,16.33259094283593
gi|483984545|ref|NZ_KB892640.1|:c198695-197355|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000369A5F9|UniRef50_R6WFW0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1341,1,0.0.0.0,0.7457121551081283
gi|483985043|ref|NZ_KB892693.1|:85307-86665|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037604CB|UniRef50_R6RJ13,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1359,3,0.0.0.0,2.207505518763797
gi|483984562|ref|NZ_KB892642.1|:c31737-30385|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00041441B3|UniRef50_R7JU95,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1353,9,0.0.0.0,6.651884700665189
gi|483984803|ref|NZ_KB892671.1|:c255356-254001|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035DC866|UniRef50_R5RJY9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1356,3,0.0.0.0,2.2123893805309733
gi|483985043|ref|NZ_KB892693.1|:276779-278095|33035|g__Blautia.s__Blautia_producta|UniRef90_R6V3W2|UniRef50_R7IUU0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1317,1,0.0.0.0,0.7593014426727411
gi|483984517|ref|NZ_KB892637.1|:c453194-451893|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003632A89|UniRef50_Q8A525,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1302,1,6.3.5.2,0.7680491551459293
gi|483984615|ref|NZ_KB892649.1|:c240522-239215|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000376ABBA|UniRef50_A5D4K5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1308,3,4.1.99.17,2.293577981651376
gi|483984803|ref|NZ_KB892671.1|:c249917-248586|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003767BBE|UniRef50_R6VJ61,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1332,5,0.0.0.0,3.7537537537537538
gi|483984714|ref|NZ_KB892660.1|:c284130-282805|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000376C349|UniRef50_P76085,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1326,1,0.0.0.0,0.7541478129713424
gi|483984626|ref|NZ_KB892651.1|:23634-25889|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036EBF96|UniRef50_UPI00036EBF96,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2256,1,0.0.0.0,0.44326241134751776
gi|483984803|ref|NZ_KB892671.1|:c246657-244366|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003701D56|UniRef50_D5HFR4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2292,1,3.2.1.22,0.43630017452006986
gi|483984517|ref|NZ_KB892637.1|:496871-499120|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00038140E5|UniRef50_UPI00038140E5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2250,1,0.0.0.0,0.4444444444444444
gi|483984615|ref|NZ_KB892649.1|:110000-112414|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2415,2,0.0.0.0,0.8281573498964803
gi|483984568|ref|NZ_KB892643.1|:42489-44813|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000379B195|UniRef50_R6RGG9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2325,1,2.7.13.3,0.4301075268817204
gi|483984576|ref|NZ_KB892644.1|:c55505-53160|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003734171|UniRef50_UPI0003734171,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2346,6,0.0.0.0,2.557544757033248
gi|483985143|ref|NZ_KB892704.1|:c95916-93871|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2046,1,0.0.0.0,0.4887585532746824
gi|483984581|ref|NZ_KB892645.1|:100553-102634|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R6EU64,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2082,2,0.0.0.0,0.9606147934678195
gi|483985043|ref|NZ_KB892693.1|:126086-128149|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035E2DEE|UniRef50_R6U053,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2064,1,0.0.0.0,0.4844961240310077
gi|483984714|ref|NZ_KB892660.1|:199092-201089|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000378E408|UniRef50_K8EYL6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1998,2,3.6.1.1,1.001001001001001
gi|483984589|ref|NZ_KB892646.1|:c87499-85364|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R5F8X5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2136,1,2.7.4.1,0.4681647940074906
gi|483984922|ref|NZ_KB892682.1|:111841-114030|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2190,3,0.0.0.0,1.36986301369863
gi|483984589|ref|NZ_KB892646.1|:c5824-3656|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_A9KQ75,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2169,1,2.4.1.211,0.4610419548178884
gi|483984541|ref|NZ_KB892639.1|:c166376-164286|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_D4KXM9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2091,1,0.0.0.0,0.4782400765184122
gi|483984803|ref|NZ_KB892671.1|:c3715-1595|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R7INK5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2121,3,0.0.0.0,1.4144271570014144
gi|483984922|ref|NZ_KB892682.1|:202740-204866|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_H6LD23,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2127,18,0.0.0.0,8.462623413258111
gi|483984529|ref|NZ_KB892638.1|:c232367-230241|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R6W3V8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2127,1,0.0.0.0,0.47014574518100616
gi|483984545|ref|NZ_KB892640.1|:c183943-180401|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R6SKR5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3543,1,0.0.0.0,0.28224668360146765
gi|483985136|ref|NZ_KB892703.1|:c125871-122341|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3531,4,0.0.0.0,1.1328235627301046
gi|483984803|ref|NZ_KB892671.1|:c185423-181941|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R6XA73,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3483,2,2.7.7.7,0.5742176284811944
gi|483984615|ref|NZ_KB892649.1|:106480-109941|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037C42E7|UniRef50_UPI00037C42E7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3462,6,0.0.0.0,1.7331022530329288
gi|483984615|ref|NZ_KB892649.1|:46516-49632|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_Q899C3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3117,1,6.1.1.5,0.3208213025344883
gi|483984615|ref|NZ_KB892649.1|:220637-223723|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3087,3,3.2.1.23,0.9718172983479105
gi|483984714|ref|NZ_KB892660.1|:c109767-106636|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3132,2,2.4.1.18,0.6385696040868455
gi|483984568|ref|NZ_KB892643.1|:c108906-105778|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037D9C4A|UniRef50_U2BLE9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3129,4,3.2.1.23,1.278363694471077
gi|483984714|ref|NZ_KB892660.1|:c55721-50292|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003697B1E|UniRef50_UPI0003697B1E,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,5430,1,0.0.0.0,0.1841620626151013
gi|483984803|ref|NZ_KB892671.1|:c14096-10254|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_C0FTB6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3843,1,2.7.7.6,0.2602133749674733
gi|483984803|ref|NZ_KB892671.1|:c10238-6522|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3717,1,2.7.7.6,0.26903416733925206
gi|483984529|ref|NZ_KB892638.1|:c146613-142846|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,3768,4,6.3.5.3,1.0615711252653928
gi|483984576|ref|NZ_KB892644.1|:137945-140449|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_I5ATV9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2505,1,5.99.1.3,0.3992015968063872
gi|483985143|ref|NZ_KB892704.1|:c56593-53840|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037CD039|UniRef50_UPI00037CD039,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2754,1,0.0.0.0,0.36310820624546114
gi|483984517|ref|NZ_KB892637.1|:494075-496813|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_Q3A811,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2739,4,0.0.0.0,1.4603870025556773
gi|483984714|ref|NZ_KB892660.1|:c62756-60060|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_F7V5T5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2697,4,0.0.0.0,1.4831294030404152
gi|483985136|ref|NZ_KB892703.1|:c90072-87448|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_P22983,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2625,6,2.7.9.1,2.2857142857142856
gi|483984922|ref|NZ_KB892682.1|:258631-261270|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_W3AT12,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2640,4,6.1.1.7,1.5151515151515151
gi|483984517|ref|NZ_KB892637.1|:288587-291205|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R6PEF4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2619,18,1.1.1.1,6.8728522336769755
gi|483984529|ref|NZ_KB892638.1|:c374077-371390|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R5C4X7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2688,5,0.0.0.0,1.8601190476190474
gi|483984714|ref|NZ_KB892660.1|:c129937-128261|33035|g__Blautia.s__Blautia_producta|UniRef90_R6G266|UniRef50_Q5HMG3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1677,3,4.2.1.9,1.7889087656529516
gi|483985143|ref|NZ_KB892704.1|:107408-109081|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037E7DBF|UniRef50_F4LPV2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1674,1,0.0.0.0,0.5973715651135006
gi|483984668|ref|NZ_KB892655.1|:8892-10559|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NAS0|UniRef50_R6BDT2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1668,1,0.0.0.0,0.5995203836930456
gi|483984529|ref|NZ_KB892638.1|:c63488-61818|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037F6A91|UniRef50_Q5KYP6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1671,1,2.7.1.16,0.5984440454817475
gi|483984517|ref|NZ_KB892637.1|:c155950-154265|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R6GEC0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1686,21,6.3.4.3,12.455516014234876
gi|483984581|ref|NZ_KB892645.1|:41394-43076|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI0003785DE0|UniRef50_F2JIJ7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1683,1,0.0.0.0,0.5941770647653001
gi|483985136|ref|NZ_KB892703.1|:c111502-109838|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035C9E8A|UniRef50_R5U7J7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1665,1,0.0.0.0,0.6006006006006006
gi|483984615|ref|NZ_KB892649.1|:79868-81523|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036251DF|UniRef50_R7AKL8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1656,1,3.6.1.1,0.6038647342995169
gi|483984529|ref|NZ_KB892638.1|:c241824-240088|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000364CE64|UniRef50_E0S0H5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1737,1,5.4.2.2,0.5757052389176741
gi|483984714|ref|NZ_KB892660.1|:116185-117873|33035|g__Blautia.s__Blautia_producta|UniRef90_R6RC06|UniRef50_R6LR95,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1689,2,0.0.0.0,1.1841326228537596
gi|483984738|ref|NZ_KB892663.1|:c3966-2275|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037E402D|UniRef50_R5BYI1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1692,9,0.0.0.0,5.319148936170213
gi|483985043|ref|NZ_KB892693.1|:c40797-39094|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037D6668|UniRef50_R7FQA6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1704,1,0.0.0.0,0.5868544600938967
gi|483984517|ref|NZ_KB892637.1|:c226171-224585|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037C8119|UniRef50_F7KEP1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1587,2,0.0.0.0,1.260239445494644
gi|483985136|ref|NZ_KB892703.1|:c178767-177178|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000477F0DD|UniRef50_E0RWR8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1590,1,0.0.0.0,0.6289308176100629
gi|483984714|ref|NZ_KB892660.1|:c193095-191536|33035|g__Blautia.s__Blautia_producta|UniRef90_R6PFD8|UniRef50_Q1GB50,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1560,1,0.0.0.0,0.641025641025641
gi|483984551|ref|NZ_KB892641.1|:46875-48446|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00036D4B6E|UniRef50_UPI00036D4B6E,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1572,1,0.0.0.0,0.6361323155216285
gi|483984922|ref|NZ_KB892682.1|:48884-50515|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000374EA48|UniRef50_Q7UTP4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1632,1,2.7.1.30,0.6127450980392157
gi|483985043|ref|NZ_KB892693.1|:189839-191461|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000380040B|UniRef50_R6VHN2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1623,1,0.0.0.0,0.6161429451632778
gi|483984517|ref|NZ_KB892637.1|:c55575-53941|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000366D90B|UniRef50_R7B896,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1635,1,0.0.0.0,0.6116207951070336
gi|483984829|ref|NZ_KB892674.1|:13035-14633|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00035CDF3C|UniRef50_R7M1A2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1599,1,0.0.0.0,0.6253908692933083
gi|483984517|ref|NZ_KB892637.1|:c555828-554221|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI00037BF1A5|UniRef50_R5AWI1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1608,3,0.0.0.0,1.8656716417910446
gi|483984529|ref|NZ_KB892638.1|:c61045-59438|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000364C12B|UniRef50_D6D9Y2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1608,2,0.0.0.0,1.243781094527363
gi|483984922|ref|NZ_KB892682.1|:200033-201925|33035|g__Blautia.s__Blautia_producta|UniRef90_unknown|UniRef50_R5IZ95,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1893,18,0.0.0.0,9.508716323296355
gi|483985125|ref|NZ_KB892702.1|:31530-33413|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NA19|UniRef50_R5BWI2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1884,1,0.0.0.0,0.5307855626326964
