GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|550260673|ref|NZ_KI440779.1|:146983-147156|1099853|g__Coprobacter.s__Coprobacter_fastidiosus|UniRef90_U5CR87|UniRef50_U5CR87,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,174,7532,0.0.0.0,43287.356321839085
gi|421151003|ref|NZ_AKYW01000017.1|:c886-590|1280|g__Staphylococcus.s__Staphylococcus_aureus|UniRef90_C8MKY8|UniRef50_Q57H85,root,297,1,0.0.0.0,3.367003367003367
gi|544788363|ref|NZ_ATAZ01000061.1|:c789-493|1245|g__Leuconostoc.s__Leuconostoc_mesenteroides|UniRef90_C7T9B1|UniRef50_L0CZD0,unclassified,297,1,0.0.0.0,3.367003367003367
gi|498503065|ref|NZ_KB822571.1|:c1129600-1128413|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LE88|UniRef50_O83217,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides thetaiotaomicron,1188,4,0.0.0.0,3.367003367003367
gi|483985136|ref|NZ_KB892703.1|:c213304-212117|33035|g__Blautia.s__Blautia_producta|UniRef90_R6VBE5|UniRef50_R6Z088,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1188,4,0.0.0.0,3.367003367003367
gi|498503065|ref|NZ_KB822571.1|:c4138405-4138109|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5YMS5|UniRef50_R5DKF4,unclassified,297,1,0.0.0.0,3.367003367003367
gi|498503065|ref|NZ_KB822571.1|:c1129600-1128413|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LE88|UniRef50_O83217,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria,1188,4,0.0.0.0,3.367003367003367
gi|498503065|ref|NZ_KB822571.1|:5365078-5366265|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZBW2|UniRef50_K5ZBW2,unclassified,1188,4,0.0.0.0,3.367003367003367
gi|555546126|ref|NZ_KI530573.1|:c62029-61733|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QHQ9|UniRef50_V2QHQ9,unclassified,297,1,0.0.0.0,3.367003367003367
gi|498503065|ref|NZ_KB822571.1|:c1129600-1128413|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LE88|UniRef50_O83217,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,1188,4,0.0.0.0,3.367003367003367
gi|410101291|ref|NZ_JH976477.1|:c263651-263355|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z7X7|UniRef50_R7J5M7,unclassified,297,1,0.0.0.0,3.367003367003367
gi|498503065|ref|NZ_KB822571.1|:c5487234-5486044|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_J9GSU8|UniRef50_R5U104,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,1191,4,0.0.0.0,3.3585222502099077
gi|82794704|ref|XM_723454.1||5861|g__Plasmodium.s__Plasmodium_yoelii|UniRef90_Q7R7H3|UniRef50_Q7R7H3,unclassified,1191,4,0.0.0.0,3.3585222502099077
gi|498503065|ref|NZ_KB822571.1|:3656307-3657797|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_A6LI32|UniRef50_R7J0F3,unclassified,1491,5,4.3.1.3,3.3534540576794094
gi|498503065|ref|NZ_KB822571.1|:2914695-2915291|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AA81|UniRef50_K6AA81,unclassified,597,2,0.0.0.0,3.3500837520938025
gi|410101289|ref|NZ_JH976475.1|:178222-178818|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z238|UniRef50_A6LFY2,unclassified,597,2,0.0.0.0,3.3500837520938025
gi|490148212|ref|NZ_KB822402.1|:185658-186851|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZNI3|UniRef50_Q03F88,unclassified,1194,4,0.0.0.0,3.3500837520938025
gi|410101290|ref|NZ_JH976476.1|:391714-392907|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5DBX8|UniRef50_B9L7P1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella forsythia,1194,4,0.0.0.0,3.3500837520938025
gi|410101286|ref|NZ_JH976472.1|:c158830-158234|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YTL2|UniRef50_K5YTL2,unclassified,597,2,0.0.0.0,3.3500837520938025
gi|522837954|ref|NZ_KE159520.1|:750708-751304|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6A5L1|UniRef50_K6A5L1,unclassified,597,2,0.0.0.0,3.3500837520938025
gi|422456000|ref|NZ_GL384199.1|:64585-65181|1747|g__Propionibacterium.s__Propionibacterium_acnes|UniRef90_G0DSW5|UniRef50_G0DSW5,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,597,2,0.0.0.0,3.3500837520938025
gi|410101286|ref|NZ_JH976472.1|:c1166120-1165224|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZVM8|UniRef50_F3ZRK2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,897,3,0.0.0.0,3.3444816053511706
gi|498503065|ref|NZ_KB822571.1|:c6210543-6209647|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZFU4|UniRef50_R5WCH7,unclassified,897,3,0.0.0.0,3.3444816053511706
gi|490136654|ref|NZ_KB822566.1|:c193259-192960|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZJ08|UniRef50_N1ZJ08,unclassified,300,1,0.0.0.0,3.3333333333333335
gi|498503065|ref|NZ_KB822571.1|:6356533-6356832|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Z515|UniRef50_R5JAF5,unclassified,300,1,0.0.0.0,3.3333333333333335
gi|82793903|ref|XM_723132.1||5861|g__Plasmodium.s__Plasmodium_yoelii|UniRef90_Q7R846|UniRef50_Q7R846,unclassified,300,1,0.0.0.0,3.3333333333333335
gi|410101290|ref|NZ_JH976476.1|:c14815-13616|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Y6S6|UniRef50_K5Y6S6,unclassified,1200,4,0.0.0.0,3.3333333333333335
gi|555552016|ref|NZ_KI530588.1|:c322081-321782|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2Q9P6|UniRef50_O66564,unclassified,300,1,0.0.0.0,3.3333333333333335
gi|498503065|ref|NZ_KB822571.1|:2134794-2135993|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AT36|UniRef50_R7J222,unclassified,1200,4,4.3.1.19,3.3333333333333335
gi|211596853|ref|NZ_DS264307.1|:c100039-99440|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM1|UniRef50_A5KL06,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,600,2,0.0.0.0,3.3333333333333335
gi|211596853|ref|NZ_DS264307.1|:c100039-99440|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM1|UniRef50_A5KL06,unclassified,600,2,0.0.0.0,3.3333333333333335
gi|498503065|ref|NZ_KB822571.1|:2192450-2193349|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZR83|UniRef50_R6WVR8,unclassified,900,3,0.0.0.0,3.333333333333333
gi|522837954|ref|NZ_KE159520.1|:c1322789-1320990|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WWF6|UniRef50_E4T141,root,1800,6,0.0.0.0,3.333333333333333
gi|522837947|ref|NZ_KE159513.1|:465478-466980|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AVL5|UniRef50_A6L717,unclassified,1503,5,0.0.0.0,3.3266799733865606
gi|555549731|ref|NZ_KI530584.1|:c78548-77046|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QCS0|UniRef50_O93662,unclassified,1503,5,1.11.1.6,3.3266799733865606
gi|490136654|ref|NZ_KB822566.1|:491703-492905|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZEI4|UniRef50_N1ZEI4,unclassified,1203,4,0.0.0.0,3.3250207813798833
gi|498503065|ref|NZ_KB822571.1|:c6188422-6187220|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2ALL6|UniRef50_I4AKP9,unclassified,1203,4,4.1.1.36,3.3250207813798833
gi|342211239|ref|NZ_AFUK01000001.1|:c2252495-2251593|1005703|g__Propionibacterium.s__Propionibacterium_sp_CC003_HC2|UniRef90_G7U656|UniRef50_I6WWP7,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,903,3,0.0.0.0,3.3222591362126246
gi|224580147|ref|NZ_DS572674.1|:c2620-2320|102684|g__Streptococcus.s__Streptococcus_infantarius|UniRef90_B1SBJ4|UniRef50_F7Z169,unclassified,301,1,0.0.0.0,3.3222591362126246
gi|522837947|ref|NZ_KE159513.1|:c2043521-2042016|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZZ14|UniRef50_H8KVQ2,unclassified,1506,5,0.0.0.0,3.3200531208499338
gi|552902190|ref|NZ_AXML01000004.1|:c62622-62020|1203574|g__Propionibacterium.s__Propionibacterium_sp_KPL1847|UniRef90_G0DTE7|UniRef50_G0DTE7,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,603,2,0.0.0.0,3.316749585406302
gi|490150767|ref|NZ_KB822405.1|:c243947-243345|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZKJ1|UniRef50_Q5FKZ1,unclassified,603,2,2.7.1.21,3.316749585406302
gi|256402711|ref|NZ_GG698588.1|:c459695-459093|1322|g__Blautia.s__Blautia_hansenii|UniRef90_R6NPQ1|UniRef50_R6XXM9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,603,2,2.3.1.222,3.316749585406302
gi|498503065|ref|NZ_KB822571.1|:3768150-3769355|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZTL7|UniRef50_R6LLS7,unclassified,1206,4,0.0.0.0,3.316749585406302
gi|498503065|ref|NZ_KB822571.1|:2162510-2163112|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5YXD3|UniRef50_N2B716,unclassified,603,2,0.0.0.0,3.316749585406302
gi|498503065|ref|NZ_KB822571.1|:c1106706-1105198|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZN28|UniRef50_R6V757,unclassified,1509,5,0.0.0.0,3.313452617627568
gi|522837954|ref|NZ_KE159520.1|:1282738-1286364|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_R6FGU3,unclassified,3627,12,0.0.0.0,3.3085194375516958
gi|410101288|ref|NZ_JH976474.1|:c586862-585654|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WQT9|UniRef50_R5AN19,unclassified,1209,4,0.0.0.0,3.3085194375516953
gi|498503065|ref|NZ_KB822571.1|:c6086752-6085241|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6AL18|UniRef50_Q9KDS9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Acidiferrobacterales;f_Acidiferrobacteraceae;g_Sulfuricaulis;s_Sulfuricaulis limicola,1512,5,0.0.0.0,3.306878306878307
gi|224514852|ref|NZ_DS483526.1|:249441-249743|33043|g__Coprococcus.s__Coprococcus_eutactus|UniRef90_A7VD49|UniRef50_Q57L44,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,303,1,0.0.0.0,3.3003300330033003
gi|498503065|ref|NZ_KB822571.1|:c954663-954058|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K6A096|UniRef50_F8X0G8,unclassified,606,2,0.0.0.0,3.3003300330033003
gi|522837954|ref|NZ_KE159520.1|:c955700-955398|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B2F7|UniRef50_R6IK65,unclassified,303,1,0.0.0.0,3.3003300330033003
gi|223667802|ref|NZ_DS480313.1|:915-1217|411489|g__Clostridium.s__Clostridium_sp_L2_50|UniRef90_A7VD49|UniRef50_Q57L44,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,303,1,0.0.0.0,3.3003300330033003
gi|498503065|ref|NZ_KB822571.1|:c6741222-6740920|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2AJU2|UniRef50_R6M8W3,unclassified,303,1,0.0.0.0,3.3003300330033003
gi|452217710|ref|NZ_AEJY01000098.1|:c22712-22410|208962|g__Escherichia.s__Escherichia_albertii|UniRef90_Q8FCZ8|UniRef50_Q8FCZ8,unclassified,303,1,0.0.0.0,3.3003300330033003
gi|294625783|ref|NZ_ACPX01000181.1|:c404-102|366648|g__Xanthomonas.s__Xanthomonas_fuscans|UniRef90_UPI0001CEC387|UniRef50_F5XS62,root;k_Bacteria,303,1,0.0.0.0,3.3003300330033003
gi|498503065|ref|NZ_KB822571.1|:1946637-1946939|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2B2F7|UniRef50_R6IK65,unclassified,303,1,0.0.0.0,3.3003300330033003
gi|522837953|ref|NZ_KE159519.1|:611935-612237|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUU2|UniRef50_R6L772,unclassified,303,1,0.0.0.0,3.3003300330033003
gi|498503065|ref|NZ_KB822571.1|:c779068-777854|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZJ6|UniRef50_K5ZZJ6,unclassified,1215,4,0.0.0.0,3.2921810699588474
gi|555552016|ref|NZ_KI530588.1|:c123772-122558|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QAH4|UniRef50_D4MAV9,unclassified,1215,4,0.0.0.0,3.2921810699588474
gi|498503065|ref|NZ_KB822571.1|:c823952-822738|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZL5|UniRef50_F9D1D7,unclassified,1215,4,0.0.0.0,3.2921810699588474
gi|522837956|ref|NZ_KE159522.1|:287633-290368|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6ABH1|UniRef50_R6WRE6,unclassified,2736,9,0.0.0.0,3.289473684210526
gi|498503065|ref|NZ_KB822571.1|:4980670-4982190|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZXP2|UniRef50_G8UQW4,unclassified,1521,5,0.0.0.0,3.287310979618672
gi|433509779|ref|NZ_ANRT01000029.1|:30903-31511|487|g__Neisseria.s__Neisseria_meningitidis|UniRef90_J8TCZ3|UniRef50_J8TCZ3,unclassified,609,2,0.0.0.0,3.284072249589491
gi|351000289|ref|NZ_AFBG01000018.1|:c10139-9531|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_H0C402|UniRef50_P56421,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Burkholderia;s_Burkholderia metallica,609,2,2.7.7.75,3.284072249589491
gi|498503065|ref|NZ_KB822571.1|:4844215-4845432|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y1W1|UniRef50_R7HML2,unclassified,1218,4,0.0.0.0,3.284072249589491
gi|498503065|ref|NZ_KB822571.1|:c6187223-6186309|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZFQ6|UniRef50_R7JMA9,unclassified,915,3,0.0.0.0,3.278688524590164
gi|410101290|ref|NZ_JH976476.1|:266291-267817|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YZD4|UniRef50_R5I8L9,unclassified,1527,5,0.0.0.0,3.2743942370661427
gi|490137911|ref|NZ_KB822568.1|:c133613-131475|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZC37|UniRef50_N1ZC37,unclassified,2139,7,0.0.0.0,3.272557269752221
gi|490134789|ref|NZ_KB822565.1|:c732822-732517|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZGR5|UniRef50_N1ZGR5,unclassified,306,1,0.0.0.0,3.2679738562091503
gi|459924786|ref|NZ_CAPZ01000017.1|:4007-4312|1311|g__Streptococcus.s__Streptococcus_agalactiae|UniRef90_M1Y8K3|UniRef50_M1Y8K3,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,306,1,0.0.0.0,3.2679738562091503
gi|260663838|ref|NZ_GG704711.1|:c3113-2808|1613|g__Lactobacillus.s__Lactobacillus_fermentum|UniRef90_D0DW03|UniRef50_D0DW03,unclassified,306,1,0.0.0.0,3.2679738562091503
gi|459924786|ref|NZ_CAPZ01000017.1|:4007-4312|1311|g__Streptococcus.s__Streptococcus_agalactiae|UniRef90_M1Y8K3|UniRef50_M1Y8K3,root,306,1,0.0.0.0,3.2679738562091503
gi|522837957|ref|NZ_KE159523.1|:c275757-275452|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_unknown|UniRef50_R5DNY2,unclassified,306,1,0.0.0.0,3.2679738562091503
gi|522837960|ref|NZ_KE159526.1|:45404-45709|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_Q8A475|UniRef50_C4L7S9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas;s_Porphyromonas gingivalis,306,1,0.0.0.0,3.2679738562091503
gi|223955978|ref|NZ_DS990284.1|:476-781|457421|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA|UniRef90_C5EWX5|UniRef50_C5EWX5,unclassified,306,1,0.0.0.0,3.2679738562091503
gi|483985125|ref|NZ_KB892702.1|:223232-223537|33035|g__Blautia.s__Blautia_producta|UniRef90_R6NSR0|UniRef50_Q38XV5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,306,1,0.0.0.0,3.2679738562091503
gi|262380949|ref|NZ_GG705149.1|:c3993-3688|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_unknown|UniRef50_A6L8Y4,unclassified,306,1,0.0.0.0,3.2679738562091503
gi|262380949|ref|NZ_GG705149.1|:c3993-3688|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_unknown|UniRef50_A6L8Y4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium,306,1,0.0.0.0,3.2679738562091503
gi|490138742|ref|NZ_KB822570.1|:48409-49635|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z982|UniRef50_N1Z982,unclassified,1227,4,0.0.0.0,3.2599837000814995
gi|490138457|ref|NZ_KB822569.1|:77072-78301|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZB62|UniRef50_A8MFS0,unclassified,1230,4,0.0.0.0,3.252032520325203
gi|522837947|ref|NZ_KE159513.1|:1679084-1680928|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZM36|UniRef50_R5SRV4,unclassified,1845,6,0.0.0.0,3.252032520325203
gi|498503065|ref|NZ_KB822571.1|:c1015082-1012929|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZMV1|UniRef50_K5ZMV1,unclassified,2154,7,0.0.0.0,3.2497678737233056
gi|432350957|ref|NZ_ANIU01000919.1|:c308-1|44752|g__Rhodococcus.s__Rhodococcus_wratislaviensis|UniRef90_L2T4X8|UniRef50_L2T4X8,unclassified,308,1,0.0.0.0,3.2467532467532467
gi|490174977|ref|NZ_KB822448.1|:70246-71169|97139|g__Clostridium.s__Clostridium_sp_ASF502|UniRef90_R9KSX5|UniRef50_P42332,unclassified,924,3,0.0.0.0,3.2467532467532467
gi|498503065|ref|NZ_KB822571.1|:6224245-6225477|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_C7XEA1|UniRef50_S1EP31,unclassified,1233,4,0.0.0.0,3.2441200324412
gi|522837947|ref|NZ_KE159513.1|:1455302-1456534|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_C7XEA1|UniRef50_S1EP31,unclassified,1233,4,0.0.0.0,3.2441200324412
gi|555546126|ref|NZ_KI530573.1|:c516211-514670|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QHX3|UniRef50_V2QHX3,unclassified,1542,5,0.0.0.0,3.2425421530479897
gi|555549731|ref|NZ_KI530584.1|:c39731-39423|248039|g__Mucispirillum.s__Mucispirillum_schaedleri|UniRef90_V2QB83|UniRef50_V2QB83,unclassified,309,1,0.0.0.0,3.236245954692557
gi|224514838|ref|NZ_DS483498.1|:81496-81804|853|g__Faecalibacterium.s__Faecalibacterium_prausnitzii|UniRef90_A8S9X2|UniRef50_A8S9X2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales Family XIII. Incertae Sedis;g_;s_[Eubacterium] sulci,309,1,0.0.0.0,3.236245954692557
gi|483984517|ref|NZ_KB892637.1|:c475126-474818|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000369D295|UniRef50_R6NEZ4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,309,1,0.0.0.0,3.236245954692557
gi|522837947|ref|NZ_KE159513.1|:c1612069-1611761|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z5T9|UniRef50_R7J0Y7,unclassified,309,1,0.0.0.0,3.236245954692557
gi|224514838|ref|NZ_DS483498.1|:81496-81804|853|g__Faecalibacterium.s__Faecalibacterium_prausnitzii|UniRef90_A8S9X2|UniRef50_A8S9X2,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium peregrinum,309,1,0.0.0.0,3.236245954692557
gi|224514838|ref|NZ_DS483498.1|:81496-81804|853|g__Faecalibacterium.s__Faecalibacterium_prausnitzii|UniRef90_A8S9X2|UniRef50_A8S9X2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium limosum,309,1,0.0.0.0,3.236245954692557
gi|224514838|ref|NZ_DS483498.1|:81496-81804|853|g__Faecalibacterium.s__Faecalibacterium_prausnitzii|UniRef90_A8S9X2|UniRef50_A8S9X2,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae,309,1,0.0.0.0,3.236245954692557
gi|224514838|ref|NZ_DS483498.1|:81496-81804|853|g__Faecalibacterium.s__Faecalibacterium_prausnitzii|UniRef90_A8S9X2|UniRef50_A8S9X2,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycobacterium,309,1,0.0.0.0,3.236245954692557
gi|522837947|ref|NZ_KE159513.1|:168779-169087|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZB02|UniRef50_R6DTW3,unclassified,309,1,0.0.0.0,3.236245954692557
gi|410101290|ref|NZ_JH976476.1|:c370125-369817|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZXQ4|UniRef50_K5ZXQ4,unclassified,309,1,0.0.0.0,3.236245954692557
gi|498503065|ref|NZ_KB822571.1|:c6376723-6376415|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Z5T9|UniRef50_R7J0Y7,unclassified,309,1,0.0.0.0,3.236245954692557
gi|498503065|ref|NZ_KB822571.1|:4965913-4966221|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZXQ4|UniRef50_K5ZXQ4,unclassified,309,1,0.0.0.0,3.236245954692557
gi|522837947|ref|NZ_KE159513.1|:1583934-1584242|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2ARP6|UniRef50_N2ARP6,unclassified,309,1,0.0.0.0,3.236245954692557
gi|410101290|ref|NZ_JH976476.1|:c133417-132179|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZZ33|UniRef50_R5U725,unclassified,1239,4,0.0.0.0,3.228410008071025
gi|498503065|ref|NZ_KB822571.1|:4566259-4567497|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y8P8|UniRef50_K5Y8P8,unclassified,1239,4,0.0.0.0,3.228410008071025
gi|490136654|ref|NZ_KB822566.1|:c192358-189260|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZDT9|UniRef50_N1ZDT9,unclassified,3099,10,0.0.0.0,3.226847370119393
gi|188505611|ref|NZ_CAAX01000728.1|:c310-1|28901|g__Salmonella.s__Salmonella_enterica|UniRef90_P16916|UniRef50_P16919,root;k_Bacteria,310,1,0.0.0.0,3.2258064516129035
gi|490134789|ref|NZ_KB822565.1|:c532756-531827|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZSB5|UniRef50_F4BRR0,unclassified,930,3,2.3.1.39,3.225806451612903
gi|490134789|ref|NZ_KB822565.1|:c589388-588459|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZE36|UniRef50_N1ZE36,unclassified,930,3,0.0.0.0,3.225806451612903
gi|498503065|ref|NZ_KB822571.1|:5179236-5180165|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5YZ84|UniRef50_I0K8E9,unclassified,930,3,2.7.1.15,3.225806451612903
gi|498503065|ref|NZ_KB822571.1|:457270-457890|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZD86|UniRef50_R6X2L5,unclassified,621,2,0.0.0.0,3.2206119162640903
gi|522837953|ref|NZ_KE159519.1|:161259-162812|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5Z6W9|UniRef50_U5Q447,unclassified,1554,5,0.0.0.0,3.2175032175032174
gi|498503065|ref|NZ_KB822571.1|:24587-25519|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZL69|UniRef50_A6LCQ6,unclassified,933,3,0.0.0.0,3.215434083601286
gi|410101286|ref|NZ_JH976472.1|:c366909-365977|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZL69|UniRef50_A6LCQ6,unclassified,933,3,0.0.0.0,3.215434083601286
